locationname,marketname,city,countrycode,address,zip,region,lat,lon,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall,geometry
Crestwood (IL),"Chicago, IL",Crestwood,US,13050 S Cicero,60445,IL,41.653898,-87.7389471,Ximena Pena-Rogers,OPEN,America/Chicago,https://www.chick-fil-a.com/crestwoodil,21.0,11.0,2019.0,2019-11-21,interior,True,Stand Alone,False,POINT (-87.7389471 41.653898)
Millennium Park (IL) In-Line,"Chicago, IL",Chicago,US,122 S Michigan Ave,60603,IL,41.8800946,-87.62469500000002,Julian Good,OPEN,America/Chicago,https://www.chick-fil-a.com/millenniumparkilinline,6.0,8.0,2020.0,2020-08-06,none,False,In-Line,False,POINT (-87.62469500000002 41.8800946)
State and Lake In-Line,"Chicago, IL",Chicago,US,177 N State St,60601,IL,41.8854189,-87.627623,Pablo Velazquez,OPEN,America/Chicago,https://www.chick-fil-a.com/stateandlakeinline,20.0,6.0,2013.0,2013-06-20,none,False,In-Line,False,POINT (-87.627623 41.8854189)
Queens Center Mall,"New York, NY",Elmhurst,US,9015 Queens Blvd Ste 7,11373,NY,40.734566,-73.8687417,Paul Daniels,OPEN,America/New_York,https://www.chick-fil-a.com/queenscentermall,1.0,9.0,2016.0,2016-09-01,none,False,Food Court,True,POINT (-73.8687417 40.734566)
Jackson Heights 82nd Street In-Line,"New York, NY",Elmhurst,US,82-23 Baxter Ave,11373,NY,40.74769209999999,-73.88230320000001,Aman Mekonen,OPEN,America/New_York,https://www.chick-fil-a.com/jacksonheights82ndstreetinline,24.0,2.0,2021.0,2021-02-24,none,False,In-Line,False,POINT (-73.88230320000001 40.74769209999999)
1536 3rd Avenue In-Line,"New York, NY",New York,US,1536 3rd Ave,10028,NY,40.77922,-73.9539,Jared Caldwell,OPEN,America/New_York,https://www.chick-fil-a.com/15363rdavenueinline,18.0,7.0,2019.0,2019-07-18,none,False,In-Line,False,POINT (-73.9539 40.77922)
711 Lexington Avenue In-Line,"New York, NY",New York,US,711 Lexington Ave,10022,NY,40.761171,-73.96858499999999,Sam Megala,OPEN,America/New_York,https://www.chick-fil-a.com/711lexingtonavenueinline,16.0,5.0,2019.0,2019-05-16,none,False,In-Line,False,POINT (-73.96858499999999 40.761171)
216 West 125th Street In-Line,"New York, NY",New York,US,216 W 125th St,10027,NY,40.8091282,-73.9491178,,FUTURE,America/New_York,https://www.chick-fil-a.com/216west125thstreetinline,,,,2022-11-03,none,False,In-Line,False,POINT (-73.9491178 40.8091282)
42nd & Madison In-Line,"New York, NY",New York,US,50 E 42nd St,10017,NY,40.752519,-73.9789868,Ellie Kim,OPEN,America/New_York,https://www.chick-fil-a.com/42ndandmadisoninline,1.0,3.0,2018.0,2018-03-01,none,False,In-Line,False,POINT (-73.9789868 40.752519)
46th & 6th In-Line,"New York, NY",New York,US,1180 Avenue of the Americas,10036,NY,40.757367,-73.981614,Bill Lynch,OPEN,America/New_York,https://www.chick-fil-a.com/46thand6thin-line,2.0,4.0,2016.0,2016-04-02,none,False,In-Line,False,POINT (-73.981614 40.757367)
31st & Park (NY) In-Line,"New York, NY",New York,US,461 Park Ave S,10016,NY,40.7451787,-73.9823329,Josh Baals,FUTURE,America/New_York,https://www.chick-fil-a.com/461parkavenuesouthnyinline,,,,2022-11-10,none,False,In-Line,,POINT (-73.9823329 40.7451787)
918 8th Avenue In-Line,"New York, NY",New York,US,918 8th Ave,10019,NY,40.765011,-73.983836,Kevin Young,OPEN,America/New_York,https://www.chick-fil-a.com/9188thavenueinline,15.0,11.0,2018.0,2018-11-15,none,False,In-Line,False,POINT (-73.983836 40.765011)
37th & 6th In-Line,"New York, NY",New York,US,1000 Avenue of the Americas,10018,NY,40.75172,-73.98601,Oscar Fittipaldi,OPEN,America/New_York,https://www.chick-fil-a.com/37thand6thinline,3.0,10.0,2015.0,2015-10-03,none,False,In-Line,False,POINT (-73.98601 40.75172)
Rojas,"El Paso, TX (Las Cruces, NM)",El Paso,US,1335 N Zaragoza Rd,79936,TX,31.7280641,-106.2997468,Marc Zayas,OPEN,America/Denver,https://www.chick-fil-a.com/rojasandzaragoza,19.0,3.0,2020.0,2020-03-19,interior,True,Stand Alone,False,POINT (-106.2997468 31.7280641)
