Source: IEA. All Rights Reserved,,,
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/,,,
Units: kt,,,
,EVs and storage,Other sectors,Share of clean energy technologies
2020,21.6,51.8,29
SPS 2030,164,77.7,68
SPS 2040,276.1,97.4,74
SDS 2030,383.1,77.7,83
SDS 2040,1063.3,97.4,92
