Source: IEA. All Rights Reserved
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
,2040 relative to 2020,2040 relative to 2020,2040 relative to 2020,2040 relative to 2020,2040 relative to 2020
STEPS,12.7870159,0,0,0,0
SDS,41.89442561,0,0,0,0
STEPS,0,7.734246591,0,0,0
SDS,0,24.7239757,0,0,0
STEPS,0,0,6.387129872,0,0
SDS,0,0,21.33162323,0,0
STEPS,0,0,0,6.478956777,0
SDS,0,0,0,19.3826668,0
STEPS,0,0,0,0,3.003168418
SDS,0,0,0,,8.134774201
