region,category,parameter,mode,powertrain,year,unit,value
China,Projection-APS,EV sales,Cars,BEV,2020,sales,930000
China,Projection-APS,EV sales,Cars,PHEV,2020,sales,230000
China,Projection-APS,EV sales,Cars,BEV,2021,sales,2700000
China,Projection-APS,EV sales,Cars,PHEV,2021,sales,600000
China,Projection-APS,EV sales,Cars,BEV,2025,sales,7100000
China,Projection-APS,EV sales,Cars,PHEV,2025,sales,1500000
China,Projection-APS,EV sales,Cars,BEV,2030,sales,10000000
China,Projection-APS,EV sales,Cars,PHEV,2030,sales,1000000
Europe,Projection-APS,EV sales,Cars,BEV,2020,sales,750000
Europe,Projection-APS,EV sales,Cars,PHEV,2020,sales,630000
Europe,Projection-APS,EV sales,Cars,BEV,2021,sales,1200000
Europe,Projection-APS,EV sales,Cars,PHEV,2021,sales,1100000
Europe,Projection-APS,EV sales,Cars,BEV,2025,sales,3600000
Europe,Projection-APS,EV sales,Cars,PHEV,2025,sales,1700000
Europe,Projection-APS,EV sales,Cars,BEV,2030,sales,7600000
Europe,Projection-APS,EV sales,Cars,PHEV,2030,sales,2100000
India,Projection-APS,EV sales,Cars,BEV,2020,sales,3100
India,Projection-APS,EV sales,Cars,PHEV,2020,sales,43
India,Projection-APS,EV sales,Cars,BEV,2021,sales,12000
India,Projection-APS,EV sales,Cars,PHEV,2021,sales,41
India,Projection-APS,EV sales,Cars,BEV,2025,sales,1000000
India,Projection-APS,EV sales,Cars,PHEV,2025,sales,54000
India,Projection-APS,EV sales,Cars,BEV,2030,sales,6100000
India,Projection-APS,EV sales,Cars,PHEV,2030,sales,160000
Rest of the world,Projection-APS,EV sales,Cars,BEV,2020,sales,100000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2020,sales,59000
Rest of the world,Projection-APS,EV sales,Cars,BEV,2021,sales,210000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2021,sales,100000
Rest of the world,Projection-APS,EV sales,Cars,BEV,2025,sales,1200000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2025,sales,1100000
Rest of the world,Projection-APS,EV sales,Cars,BEV,2030,sales,5500000
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2030,sales,3000000
USA,Projection-APS,EV sales,Cars,BEV,2020,sales,230000
USA,Projection-APS,EV sales,Cars,PHEV,2020,sales,64000
USA,Projection-APS,EV sales,Cars,BEV,2021,sales,470000
USA,Projection-APS,EV sales,Cars,PHEV,2021,sales,160000
USA,Projection-APS,EV sales,Cars,BEV,2025,sales,1900000
USA,Projection-APS,EV sales,Cars,PHEV,2025,sales,650000
USA,Projection-APS,EV sales,Cars,BEV,2030,sales,6100000
USA,Projection-APS,EV sales,Cars,PHEV,2030,sales,1200000
World,Projection-APS,EV sales,Cars,BEV,2020,sales,2000000
World,Projection-APS,EV sales,Cars,PHEV,2020,sales,980000
World,Projection-APS,EV sales,Cars,BEV,2021,sales,4700000
World,Projection-APS,EV sales,Cars,PHEV,2021,sales,1900000
World,Projection-APS,EV sales,Cars,BEV,2025,sales,15000000
World,Projection-APS,EV sales,Cars,PHEV,2025,sales,4900000
World,Projection-APS,EV sales,Cars,BEV,2030,sales,36000000
World,Projection-APS,EV sales,Cars,PHEV,2030,sales,7500000
