name,kind,group,coat_color,mane_color,eye_color,first_appearance,first_season,coat_hex,mane_hex,eye_hex
Applejack,earth,mare,"hsl(036, 100%, 71%)","hsl(058, 90%, 84%)","hsl(113, 50%, 57%)",1010730,True,FFC46B,FBF8B1,67C85B
Pinkie Pie,earth,mare,"hsl(335, 88%, 84%)","hsl(336, 92%, 62%)","hsl(198, 94%, 72%)",1010659,True,FAB2D0,F7458C,74D2FB
Sunny Starscout,earth,mare,"hsl(25, 86%, 66%)","hsl(328, 75%, 44%)","hsl(159, 95%, 37%)",ANG0127,False,F39C5E,C41C76,05B879
Hitch Trailblazer,earth,stallion,"hsl(38, 69%, 68%)","hsl(191, 53%, 46%)","hsl(38, 97%, 39%)",ANG0130,False,E6BC75,379DB3,C47D03
Fluttershy,pegasus,mare,"hsl(055, 94%, 82%)","hsl(331, 92%, 85%)","hsl(177, 76%, 43%)",1011351,True,FCF5A6,FCB6D8,1AC1B9
Princess Pipp Petals,pegasus,mare,"hsl(315, 67%, 75%)","hsl(276, 55%, 47%)","hsl(80, 97%, 35%)",ANG2943,False,EA95D5,8536BA,76B003
Rainbow Dash,pegasus,mare,"hsl(195, 100%, 81%)","hsl(359, 99%, 67%)","hsl(326, 74%, 43%)",1010939,True,9EE7FF,FE585A,BF1D78
Princess Zipp Storm,pegasus,mare,"hsl(0, 17%, 92%)","hsl(334, 73%, 49%)","hsl(183, 49%, 50%)",ANG2736,False,EEE7E7,D82271,41B8BE
Izzy Moonbow,unicorn,mare,"hsl(292, 41%, 79%)","hsl(198, 60%, 58%)","hsl(311, 79%, 61%)",ANG1806,False,DAB3DF,54AED4,EA4DCD
Rarity,unicorn,mare,"hsl(240, 8%, 95%)","hsl(258, 35%, 48%)","hsl(210, 45%, 54%)",1011202,True,F1F1F3,6950A5,558ABE
Twilight Sparkle,alicorn,mare,"hsl(283, 65%, 81%)","hsl(226, 38%, 38%)","hsl(272, 36%, 42%)",1010131,True,DCAFEE,3C4D86,6E4592
Apple Bloom,earth,filly,"hsl(063, 94%, 81%)","hsl(343, 95%, 61%)","hsl(040, 88%, 66%)",1010839,True,F8FCA1,FA3D73,F5C25C
Scootaloo,pegasus,filly,"hsl(035, 100%, 70%)","hsl(326, 57%, 63%)","hsl(276, 34%, 53%)",1012023,True,FFBF66,D66BA8,8F5EB0
Sweetie Belle,unicorn,filly,"hsl(320, 9%, 94%)","hsl(282, 29%, 66%)","hsl(104, 40%, 69%)",1012023,True,F1EEF0,B28FC1,A1D090
Aloe,earth,mare,"hsl(329, 95%, 85%)","hsl(197, 97%, 74%)","hsl(211, 55%, 43%)",1200033,True,FDB4DA,7CD9FD,316CAA
Blue Bobbin,earth,mare,"hsl(195, 86%, 77%)","hsl(327, 73%, 65%)","hsl(308, 46%, 50%)",6091324,False,92DEF7,E765AC,BA45AB
Butternut,earth,mare,"hsl(48, 90%, 74%)","hsl(27, 95%, 23%)","hsl(27, 65%, 50%)",BGE2119,False,F8E181,723503,D2772D
Charity Kindheart,earth,mare,"hsl(57, 77%, 76%)","hsl(207, 40%, 64%)","hsl(250, 63%, 54%)",5160810,False,F1EC93,7EA7C8,5840D4
Cheerilee,earth,mare,"hsl(320, 44%, 47%)","hsl(327, 62%, 78%)","hsl(106, 46%, 63%)",1061743,True,AD4389,EAA4CA,8ACC75
Cherry Jubilee,earth,mare,"hsl(052, 100%, 94%)","hsl(345, 52%, 45%)","hsl(119, 75%, 61%)",2140914,False,FFFBE0,AE3755,53E651
Coco Pommel,earth,mare,"hsl(044, 73%, 93%)","hsl(181, 69%, 77%)","hsl(178, 71%, 71%)",4081023,False,FAF3E0,9CEBED,81EAE6
Coloratura,earth,mare,"hsl(157, 63%, 89%)","hsl(253, 29%, 29%)","hsl(171, 50%, 59%)",5240454,False,D1F5E7,3E355F,62CBBB
Dr. Fauna,earth,mare,"hsl(052, 71%, 65%)","hsl(203, 92%, 75%)","hsl(045, 67%, 30%)",2101121,False,E5D466,85CDFA,806619
The Headless Horse,earth,mare,"hsl(000, 100%, 100%)","hsl(000, 100%, 100%)","hsl(000, 100%, 100%)",1080902,True,FFFFFF,FFFFFF,FFFFFF
Aunt Holiday,earth,mare,"hsl(45, 91%, 83%)","hsl(5, 79%, 64%)","hsl(4, 52%, 51%)",PM30101,False,FBE7AC,EC675B,C34A41
Hoofer Steps,earth,mare,"hsl(277, 45%, 91%)","hsl(52, 85%, 82%)","hsl(312, 48%, 40%)",6041250,False,EADEF2,F8EEAA,973583
Jazz Hooves,earth,mare,,,,,False,F4FFB2,FDAD44,9AC93B
Junebug,earth,mare,"hsl(069, 100%, 85%)","hsl(034, 98%, 63%)","hsl(080, 57%, 51%)",2100747,False,DDFAFD,3DB8B6,7CD2EE
Lighthoof,earth,mare,"hsl(186, 88%, 93%)","hsl(179, 50%, 48%)","hsl(195, 77%, 71%)",9150433,False,86D6F3,F1B1D3,4E8BC1
Lotus Blossom,earth,mare,"hsl(196, 82%, 74%)","hsl(328, 70%, 82%)","hsl(208, 48%, 53%)",1092052,True,6EC0DE,DC6062,57F4C8
Mage Meadowbrook,earth,mare,"hsl(196, 63%, 65%)","hsl(359, 64%, 62%)","hsl(163, 88%, 65%)",5011941,False,4D4E99,009E47,019838
Mane-iac,earth,mare,"hsl(239, 33%, 45%)","hsl(147, 100%, 31%)","hsl(142, 99%, 30%)",4060558,False,C2C0C8,9A7FBD,78B9DE
Mare Do Well,earth,mare,hsl(),hsl(),"hsl(202, 61%, 67%)",2080701,False,DBCCA3,DBDFE1,42CDA5
Pinkie's sisterMaud Pie,earth,mare,"hsl(255, 7%, 77%)","hsl(266, 32%, 62%)","hsl(163, 58%, 53%)",4120954,False,80DFFF,E75F7A,5963B1
Mayor Mare,earth,mare,"hsl(044, 44%, 75%)","hsl(200, 9%, 87%)","hsl(233, 36%, 52%)",1011903,True,DF924E,FAE27F,D6519B
Mrs. Cup Cake,earth,mare,"hsl(195, 100%, 75%)","hsl(348, 74%, 64%)","hsl(327, 62%, 58%)",1041317,True,FEFAAE,8EDD55,6FBDD8
