week,week_ending_date,year,count
1,2020-01-04,Normal,5923.0
2,2020-01-11,Normal,5932.0
3,2020-01-18,Normal,5718.0
4,2020-01-25,Normal,5543.0
5,2020-02-01,Normal,5559.0
6,2020-02-08,Normal,5521.0
7,2020-02-15,Normal,5482.0
8,2020-02-22,Normal,5400.0
9,2020-02-29,Normal,5454.0
10,2020-03-07,Normal,5375.0
11,2020-03-14,Normal,5353.0
12,2020-03-21,Normal,5167.0
13,2020-03-28,Normal,5100.0
14,2020-04-04,Normal,5144.0
15,2020-04-11,Normal,5049.0
16,2020-04-18,Normal,4961.0
17,2020-04-25,Normal,4983.0
18,2020-05-02,Normal,4935.0
19,2020-05-09,Normal,4830.0
20,2020-05-16,Normal,4786.0
21,2020-05-23,Normal,4819.0
22,2020-05-30,Normal,4829.0
23,2020-06-06,Normal,4815.0
24,2020-06-13,Normal,4780.0
25,2020-06-20,Normal,4804.0
26,2020-06-27,Normal,4722.0
27,2020-07-04,Normal,4694.0
28,2020-07-11,Normal,4688.0
29,2020-07-18,Normal,4660.0
30,2020-07-25,Normal,4701.0
31,2020-08-01,Normal,4641.0
32,2020-08-08,Normal,4597.0
33,2020-08-15,Normal,4631.0
34,2020-08-22,Normal,4644.0
35,2020-08-29,Normal,4668.0
36,2020-09-05,Normal,4742.0
37,2020-09-12,Normal,4684.0
38,2020-09-19,Normal,4705.0
39,2020-09-26,Normal,4719.0
40,2020-10-03,Normal,4771.0
41,2020-10-10,Normal,4796.0
42,2020-10-17,Normal,4785.0
43,2020-10-24,Normal,4820.0
44,2020-10-31,Normal,4834.0
45,2020-11-07,Normal,4951.0
46,2020-11-14,Normal,4951.0
47,2020-11-21,Normal,5043.0
48,2020-11-28,Normal,5068.0
49,2020-12-05,Normal,5290.0
50,2020-12-12,Normal,5271.0
51,2020-12-19,Normal,5371.0
52,2020-12-26,Normal,5657.0
1,2020-01-04,2020,5888.0
2,2020-01-11,2020,5873.0
3,2020-01-18,2020,5830.0
4,2020-01-25,2020,5832.0
5,2020-02-01,2020,5686.0
6,2020-02-08,2020,5913.0
7,2020-02-15,2020,5587.0
8,2020-02-22,2020,5797.0
9,2020-02-29,2020,5681.0
10,2020-03-07,2020,5737.0
11,2020-03-14,2020,5465.0
12,2020-03-21,2020,5681.0
13,2020-03-28,2020,5689.0
14,2020-04-04,2020,5985.0
15,2020-04-11,2020,6048.0
16,2020-04-18,2020,6130.0
17,2020-04-25,2020,5938.0
18,2020-05-02,2020,5744.0
19,2020-05-09,2020,5669.0
20,2020-05-16,2020,5694.0
21,2020-05-23,2020,5528.0
22,2020-05-30,2020,5592.0
23,2020-06-06,2020,5517.0
24,2020-06-13,2020,5567.0
25,2020-06-20,2020,5488.0
26,2020-06-27,2020,5698.0
27,2020-07-04,2020,5900.0
28,2020-07-11,2020,6040.0
29,2020-07-18,2020,6227.0
30,2020-07-25,2020,6248.0
31,2020-08-01,2020,6334.0
32,2020-08-08,2020,6307.0
33,2020-08-15,2020,6289.0
34,2020-08-22,2020,6474.0
35,2020-08-29,2020,5874.0
36,2020-09-05,2020,5780.0
37,2020-09-12,2020,5871.0
38,2020-09-19,2020,5750.0
39,2020-09-26,2020,5561.0
40,2020-10-03,2020,5665.0
41,2020-10-10,2020,5563.0
42,2020-10-17,2020,5611.0
43,2020-10-24,2020,5345.0
44,2020-10-31,2020,5524.0
45,2020-11-07,2020,5855.0
46,2020-11-14,2020,5989.0
47,2020-11-21,2020,6337.0
48,2020-11-28,2020,6371.0
49,2020-12-05,2020,7140.0
50,2020-12-12,2020,8110.0
51,2020-12-19,2020,9160.0
52,2020-12-26,2020,10465.0
