player,nation,clubname,age,position,starts,minutes,matches_played,playing_time_90,goals,assists,penalty_kick_attempts,penalty_kicks,non_penalty_goals,yellow_cards,red_cards
Ashley Westwood,eng,Burnley,30-364,MF,29,2600.0,29,28.9,1.0,2.0,0.0,0.0,1.0,6.0,0.0
Nick Pope,eng,Burnley,28-346,GK,28,2520.0,28,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
James Tarkowski,eng,Burnley,28-132,DF,27,2430.0,27,27.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Dwight McNeil,eng,Burnley,21-129,MF,25,2317.0,27,25.7,2.0,3.0,0.0,0.0,2.0,1.0,0.0
Matthew Lowton,eng,Burnley,31-295,DF,25,2250.0,25,25.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0
Josh Brownhill,eng,Burnley,25-102,MF,23,2051.0,24,22.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chris Wood,nz,Burnley,29-114,FW,23,1967.0,24,21.9,6.0,0.0,0.0,0.0,6.0,0.0,0.0
Ben Mee,eng,Burnley,31-189,DF,22,1973.0,22,21.9,2.0,0.0,0.0,0.0,2.0,2.0,0.0
Charlie Taylor,eng,Burnley,27-194,DF,21,1738.0,21,19.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ashley Barnes,eng,Burnley,31-152,FW,15,1293.0,18,14.4,3.0,0.0,1.0,1.0,2.0,4.0,0.0
Jay Rodriguez,eng,Burnley,31-245,"FW,MF",12,1130.0,24,12.6,1.0,2.0,0.0,0.0,1.0,3.0,0.0
Robbie Brady,ie,Burnley,29-076,MF,12,1052.0,19,11.7,1.0,1.0,0.0,0.0,1.0,3.0,0.0
Erik Pieters,nl,Burnley,32-236,"DF,MF",11,1144.0,18,12.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Jóhann Berg Guðmundsson,is,Burnley,30-155,MF,11,883.0,15,9.8,2.0,0.0,0.0,0.0,2.0,1.0,0.0
Matěj Vydra,cz,Burnley,28-334,FW,9,879.0,19,9.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Jack Cork,eng,Burnley,31-279,MF,8,735.0,9,8.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kevin Long,ie,Burnley,30-225,DF,7,637.0,8,7.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Phil Bardsley,sco,Burnley,35-276,DF,3,274.0,4,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Dale Stephens,eng,Burnley,31-292,MF,3,261.0,7,2.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
