name,code,country,id,url
Burnley,BUR,England,943e8050,https://fbref.com/en/squads//943e8050
Manchester United,MUN,England,19538871,https://fbref.com/en/squads//19538871
Manchester City,MCI,England,b8fd03ef,https://fbref.com/en/squads//b8fd03ef
Aston Villa,AVL,England,8602292d,https://fbref.com/en/squads//8602292d
Fulham,FUL,England,fd962109,https://fbref.com/en/squads//fd962109
Arsenal,ARS,England,18bb7c10,https://fbref.com/en/squads//18bb7c10
Crystal Palace,CRY,England,47c64c55,https://fbref.com/en/squads//47c64c55
Southampton,SOU,England,33c895d4,https://fbref.com/en/squads//33c895d4
Liverpool,LIV,England,e87167c6,https://fbref.com/en/squads//e87167c6
Leeds United,LEE,England,5bfb9659,https://fbref.com/en/squads//5bfb9659
West Ham United,WHU,England,52d65cea,https://fbref.com/en/squads//52d65cea
Newcastle United,NEW,England,b2b47a98,https://fbref.com/en/squads//b2b47a98
West Bromwich Albion,WBA,England,60c6b05f,https://fbref.com/en/squads//60c6b05f
Leicester City,LEI,England,a2d435b3,https://fbref.com/en/squads//a2d435b3
Tottenham Hotspur,TOT,England,361ca564,https://fbref.com/en/squads//361ca564
Everton,EVE,England,c4989550,https://fbref.com/en/squads//c4989550
Sheffield United,SHU,England,1df6b87e,https://fbref.com/en/squads//1df6b87e
Wolverhampton Wanderers,WOL,England,8cec06e1,https://fbref.com/en/squads//8cec06e1
Brighton & Hove Albion,BHA,England,d07537b9,https://fbref.com/en/squads//d07537b9
Chelsea,CHE,England,a6a4e67d,https://fbref.com/en/squads//a6a4e67d
