rank,name,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points,expected_goals_for,expected_goals_against,expected_goal_diff,expected_goals_diff_90mins,attendance,top_scorer,goalkeeper,updated
1,Manchester City,38,27,5,6,83,32,51,86,73.3,31.3,42.0,1.11,526,İlkay Gündoğan - 13,Ederson,2021-06-06 08:55:22.344251
2,Manchester Utd,38,21,11,6,73,44,29,74,60.2,42.2,18.0,0.47,526,Bruno Fernandes - 18,David de Gea,2021-06-06 08:55:22.344251
3,Liverpool,38,20,9,9,68,42,26,69,72.6,45.4,27.3,0.72,837,Mohamed Salah - 22,Alisson,2021-06-06 08:55:22.344251
4,Chelsea,38,19,10,9,58,36,22,67,64.0,32.8,31.2,0.82,526,Jorginho - 7,Edouard Mendy,2021-06-06 08:55:22.344251
5,Leicester City,38,20,6,12,68,50,18,66,56.0,47.7,8.3,0.22,421,Jamie Vardy - 15,Kasper Schmeichel,2021-06-06 08:55:22.344251
6,West Ham,38,19,8,11,62,47,15,65,54.0,48.3,5.7,0.15,632,"Tomáš Souček, Michail Antonio - 10",Łukasz Fabiański,2021-06-06 08:55:22.344251
7,Tottenham,38,18,8,12,68,45,23,62,54.6,49.5,5.0,0.13,632,Harry Kane - 23,Hugo Lloris,2021-06-06 08:55:22.344251
8,Arsenal,38,18,7,13,55,39,16,61,53.5,44.3,9.2,0.24,632,Alexandre Lacazette - 13,Bernd Leno,2021-06-06 08:55:22.344251
9,Leeds United,38,18,5,15,62,54,8,59,57.5,62.9,-5.4,-0.14,421,Patrick Bamford - 17,Illan Meslier,2021-06-06 08:55:22.344251
10,Everton,38,17,8,13,47,48,-1,59,47.0,51.2,-4.1,-0.11,368,Dominic Calvert-Lewin - 16,Jordan Pickford,2021-06-06 08:55:22.344251
11,Aston Villa,38,16,7,15,55,46,9,55,53.0,52.9,0.2,0.0,526,Ollie Watkins - 14,Emiliano Martínez,2021-06-06 08:55:22.344251
12,Newcastle Utd,38,12,9,17,46,62,-16,45,40.9,53.9,-13.1,-0.34,526,Callum Wilson - 12,Karl Darlow,2021-06-06 08:55:22.344251
13,Wolves,38,12,9,17,36,52,-16,45,39.9,45.9,-6.0,-0.16,237,"Rúben Neves, Pedro Neto - 5",Rui Patrício,2021-06-06 08:55:22.344251
14,Crystal Palace,38,12,8,18,41,66,-25,44,32.5,57.6,-25.1,-0.66,447,Wilfried Zaha - 11,Vicente Guaita,2021-06-06 08:55:22.344251
15,Southampton,38,12,7,19,47,68,-21,43,42.4,54.3,-12.0,-0.31,526,Danny Ings - 12,Alex McCarthy,2021-06-06 08:55:22.344251
16,Brighton,38,9,14,15,40,46,-6,41,51.6,37.7,13.9,0.37,523,Neal Maupay - 8,Robert Sánchez,2021-06-06 08:55:22.344251
17,Burnley,38,10,9,19,33,55,-22,39,39.6,57.8,-18.1,-0.48,178,Chris Wood - 12,Nick Pope,2021-06-06 08:55:22.344251
18,Fulham,38,5,13,20,27,53,-26,28,40.5,53.0,-12.5,-0.33,211,Bobby Reid - 5,Alphonse Areola,2021-06-06 08:55:22.344251
19,West Brom,38,5,11,22,35,76,-41,26,33.8,67.7,-34.0,-0.89,283,Matheus Pereira - 11,Sam Johnstone,2021-06-06 08:55:22.344251
20,Sheffield Utd,38,7,2,29,20,63,-43,23,31.5,62.0,-30.5,-0.8,263,David McGoldrick - 8,Aaron Ramsdale,2021-06-06 08:55:22.344251
