id,title,type,author_name,image_url,date,month,week_start
rk9fw,SCOTUS questioning differs by gender,d3-bars-bullet,Stiles,//img.datawrapper.de/6ZhOZ/4436f8afdf289240984bbe1dd529beb9/full.png,2022-03-17,March,2022-03-14
x5247,Hong Kong's 2022 covid surge,d3-bars,Matthews,//img.datawrapper.de/QwUwJ/9d0b1a0910b39c803a15b9c9da78c022/full.png,2022-03-16,March,2022-03-14
McE3W,Daylight saving time legislation by state,d3-maps-choropleth,Deen,//img.datawrapper.de/J0NXS/190d7e0ce3a0ee7906524b4ecb699405/full.png,2022-03-16,March,2022-03-14
YNxCB,Covid soars in Hong Kong,d3-lines,Matthews,//img.datawrapper.de/87b5K/b007f0d20ccb8634fdcb2773b549bc9c/full.png,2022-03-15,March,2022-03-14
5NkqQ,Hong Kong vaccination rates by age group,d3-bars,Deen,//img.datawrapper.de/8DPiU/5486839721d7e9bd6243a4f0c83d3ef7/full.png,2022-03-15,March,2022-03-14
5OUZJ,"Major variants sequenced in  <a target=""_self"" href=""https://datawrapper.dwcdn.net/5OUZJ/1/"" rel=""nofollow noopener noreferrer""><span style=""background: #00d4d8;
    padding: 1px 6px;
    border-radius: 5px;
    color: #fff;
    font-weight: 400;
    box-shadow: 0px 0px 7px 2px rgb(0 0 0 / 7%);
    text-decoration: none;
    cursor: pointer;"">India</span></a>&nbsp;versus&nbsp;<a target=""_self"" href=""https://datawrapper.dwcdn.net/26uV1/5/"" rel=""nofollow noopener noreferrer""><span style=""background: #c5c5c5;
    padding: 1px 6px;
    border-radius: 5px;
    color: #fff;
    font-weight: 400;
    box-shadow: 0px 0px 7px 2px rgb(0 0 0 / 7%);
    text-decoration: none;
    cursor: pointer;"">U.S.</span></a>",d3-area,Matthews,//img.datawrapper.de/h5bly/554e366d6f3bad73d91dec0b5418b9c2/full.png,2022-03-14,March,2022-03-14
26uV1,"Major variants sequenced in  <a target=""_self"" href=""https://datawrapper.dwcdn.net/26uV1/5/"" rel=""nofollow noopener noreferrer""><span style=""background: #00d4d8;
    padding: 1px 6px;
    border-radius: 5px;
    color: #fff;
    font-weight: 400;
    box-shadow: 0px 0px 7px 2px rgb(0 0 0 / 7%);
    cursor: pointer; text-decoration: none;"">U.S.</span></a>&nbsp;versus&nbsp;<a target=""_self"" href=""https://datawrapper.dwcdn.net/5OUZJ/2/"" rel=""nofollow noopener noreferrer""><span style=""background: #c5c5c5;
    padding: 1px 6px;
    border-radius: 5px;
    color: #fff;
    font-weight: 400;
    box-shadow: 0px 0px 7px 2px rgb(0 0 0 / 7%);
    text-decoration: none;
    cursor: pointer;"">India</span> </a>",d3-area,Matthews,//img.datawrapper.de/2tX5W/68b4529980dd415d30d7d119e63c3059/full.png,2022-03-14,March,2022-03-14
CrKVR,Sanctioned oligarchs' yachts,tables,Matthews,//img.datawrapper.de/yrvFU/a9f67caad016c2a4be2a159ad5ef4da3/full.png,2022-03-14,March,2022-03-14
fCz9Q,Monthly crude oil prices,d3-lines,Deen,//img.datawrapper.de/RpHeE/7e1b2cc41eab28c149400fc2ee411f68/full.png,2022-03-13,March,2022-03-07
VWP9T,Sanctioned oligarchs,tables,Deen,//img.datawrapper.de/goAK8/de0e97c18a041bd8e0eb5a6f6398e1d2/full.png,2022-03-10,March,2022-03-07
GBz7Q,Oligarch yachts,tables,Stiles,//img.datawrapper.de/k0r9E/67a079e28164ebe102c7c4597fd1752c/full.png,2022-03-10,March,2022-03-07
nmtUv,Tracking oligarch superyachts,d3-maps-symbols,Stiles,//img.datawrapper.de/YCwBN/0b75c5619b57557ac8027eb6989b1eb5/full.png,2022-03-09,March,2022-03-07
o0MZS,Refugee population growing,d3-maps-symbols,Stiles,//img.datawrapper.de/UfSgi/814cf8664d16d650b6215d79e4b38561/full.png,2022-03-05,March,2022-02-28
NmtWS,Active nuclear power plants in Ukraine,locator-map,Deen,//img.datawrapper.de/wHpZs/071b87e669e720719d3314fde9f1584c/full.png,2022-03-04,March,2022-02-28
H9C2n,Military aid to Ukraine,d3-maps-choropleth,Stiles,//img.datawrapper.de/BjqjI/44c90ae2947cdc74f41f3e9b2929c20a/full.png,2022-03-03,March,2022-02-28
7I3Tu,Bid winners for offshore wind lease areas,locator-map,Deen,//img.datawrapper.de/ULMU6/155c525c401bda1a693fab7a41318b55/full.png,2022-03-01,March,2022-02-28
BJ90Y,State of the Union getting simpler,d3-area,Stiles,//img.datawrapper.de/YK9HF/72ccbddf45d8ae1f0960beb9836ecc7b/full.png,2022-02-28,February,2022-02-28
wnMVu,Common State of the Union words,tables,Stiles,//img.datawrapper.de/noVPS/3681b5f229034a49a3cd64ba454de2ec/full.png,2022-02-28,February,2022-02-28
qENoB,Estimated global nuclear warhead inventory,d3-bars-stacked,Deen,//img.datawrapper.de/vbhfm/795c09fb5ae52a71971c1f8963ab896a/full.png,2022-02-28,February,2022-02-28
BXgqN,Global electric vehicle sales since 2017,stacked-column-chart,Deen,//img.datawrapper.de/XsiJz/09167a8709d2c9b3ec4a082330d7d9d2/full.png,2022-02-28,February,2022-02-28
