chart_type,ready_to_run_count
d3-lines,81
d3-bars-stacked,44
d3-maps-choropleth,41
d3-bars,38
d3-area,22
column-chart,22
locator-map,17
tables,11
d3-bars-bullet,10
d3-bars-grouped,8
stacked-column-chart,8
d3-maps-symbols,6
d3-range-plot,6
d3-dot-plot,3
d3-arrow-plot,3
d3-scatter-plot,3
grouped-column-chart,2
d3-bars-split,1
d3-multiple-donuts,1
