merchant,title,transaction_count,commission
Clare V.,Clare V Fanny Pack,1,56.74
Boden USA,"Sienna Cotton Shirt-Ivory, Tennis",1,49.8
Cuyana,Travel Jewelry Case,5,47.040000000000006
Sephora,ORIGINAL Beautyblender Makeup Sponge,1,33.17
Monastery,Monastery | Healing Botanical Skincare,1,28.44
Saint Jane Beauty,Luxury Sun Ritual - Pore Smoothing SPF 30 Sunscreen,2,27.965
Medik8,Liquid Peptides™,1,27.45
LARQ,LARQ Bottle PureVis™,1,24.99
Tower 28,TOWER 28 | BeachPlease Luminous Tinted Cream Blush,1,23.12
KYPRIS Beauty,Beauty Elixir IIi: Prismatic Array - Gentle Moisturizing Face Oil,1,19.58
