merchant,title,transaction_count,commission
Cuyana,Travel Jewelry Case,5,235.20000000000002
Maelove,Glow Maker Vitamin C Serum,11,146.38
Target,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,23,100.86
Geometry,Geometry Kitchen Tea Towels,9,78.42
Medik8,MEDIK8 | Advanced Night Ceramide,5,74.92
Jouer Cosmetics,Skin Barrier Cream,9,73.65
Target,Mondo Llama : Kids’ Crafts,21,73.36
Target,3pc Waffle Kitchen Towels - Figmint™,25,66.76
Clare V.,Clare V Fanny Pack,1,56.74
Saint Jane Beauty,Luxury Sun Ritual - Pore Smoothing SPF 30 Sunscreen,2,55.93
