date,cases
5/17/2022,1
5/18/2022,0
5/19/2022,0
5/20/2022,1
5/21/2022,2
5/22/2022,1
5/23/2022,4
5/24/2022,1
5/25/2022,2
5/26/2022,2
5/27/2022,3
5/28/2022,0
5/29/2022,1
5/30/2022,0
5/31/2022,3
6/1/2022,1
6/2/2022,3
6/3/2022,6
6/4/2022,2
6/5/2022,0
6/6/2022,5
6/7/2022,4
6/8/2022,6
6/9/2022,7
6/10/2022,4
6/11/2022,2
6/12/2022,5
6/13/2022,3
6/14/2022,15
6/15/2022,10
6/16/2022,17
6/17/2022,8
6/18/2022,9
6/19/2022,4
6/20/2022,11
6/21/2022,14
6/22/2022,20
6/23/2022,20
6/24/2022,48
6/25/2022,12
6/26/2022,9
6/27/2022,60
6/28/2022,40
6/29/2022,42
6/30/2022,57
7/1/2022,54
7/2/2022,15
7/3/2022,8
7/4/2022,24
7/5/2022,36
7/6/2022,46
7/7/2022,53
7/8/2022,36
7/9/2022,41
7/10/2022,7
7/11/2022,95
7/12/2022,157
7/13/2022,141
7/14/2022,209
7/15/2022,152
7/16/2022,7
7/17/2022,1
7/18/2022,168
7/19/2022,292
7/20/2022,255
7/21/2022,183
7/22/2022,322
7/23/2022,13
7/24/2022,6
7/25/2022,812
7/26/2022,586
7/27/2022,476
7/28/2022,184
7/29/2022,435
7/30/2022,16
7/31/2022,14
8/1/2022,562
8/2/2022,516
8/3/2022,229
