Date,Airport,Scheduled,Actual
2/14/20,ARN,289,285
2/14/20,ATH,221,217
2/14/20,BCN,441,441
2/14/20,BRU,278,275
2/14/20,BUD,160,158
2/14/20,CDG,623,622
2/14/20,CPH,340,336
2/14/20,DME,256,252
2/14/20,DUB,302,299
2/14/20,FCO,359,359
2/14/20,FRA,701,637
2/14/20,GVA,240,237
2/14/20,HEL,258,251
2/14/20,KEF,28,21
2/14/20,LGW,372,366
2/14/20,LHR,655,647
2/14/20,LIS,295,286
2/14/20,MAD,544,540
2/14/20,MAN,249,244
2/14/20,MUC,530,523
2/14/20,MXP,275,272
2/14/20,ORY,320,312
2/14/20,OSL,353,343
2/14/20,PRG,166,164
2/14/20,SVO,466,465
2/14/20,VCE,115,114
2/14/20,VIE,360,357
2/14/20,VKO,167,165
2/14/20,WAW,245,245
2/14/20,ZRH,315,313
2/15/20,AMS,554,541
2/15/20,ARN,165,165
2/15/20,ATH,183,178
2/15/20,BCN,352,343
2/15/20,BRU,178,177
2/15/20,BUD,119,119
2/15/20,CDG,559,553
2/15/20,CPH,245,239
2/15/20,DME,245,241
2/15/20,DUB,241,235
2/15/20,FCO,314,308
2/15/20,FRA,637,571
2/15/20,GVA,261,238
2/15/20,HEL,208,207
2/15/20,KEF,45,41
2/15/20,LGW,341,279
2/15/20,LHR,603,553
2/15/20,LIS,263,261
2/15/20,MAD,451,443
2/15/20,MAN,222,214
2/15/20,MUC,447,442
2/15/20,MXP,216,209
2/15/20,ORY,235,230
2/15/20,OSL,192,190
2/15/20,PRG,114,111
2/15/20,SVO,470,466
2/15/20,VCE,87,85
2/15/20,VIE,257,254
2/15/20,VKO,153,149
2/15/20,WAW,195,190
2/15/20,ZRH,265,257
2/16/20,AMS,653,619
2/16/20,ARN,279,268
2/16/20,ATH,227,221
2/16/20,BCN,443,424
2/16/20,BRU,246,240
2/16/20,BUD,148,146
2/16/20,CDG,622,594
2/16/20,CPH,326,313
2/16/20,DME,259,255
2/16/20,DUB,285,273
2/16/20,FCO,353,348
2/16/20,FRA,659,587
2/16/20,GVA,266,230
2/16/20,HEL,238,232
2/16/20,KEF,51,47
2/16/20,LGW,405,328
2/16/20,LHR,645,569
2/16/20,LIS,291,281
2/16/20,MAD,527,511
2/16/20,MAN,256,235
2/16/20,MUC,488,478
2/16/20,MXP,269,251
2/16/20,ORY,292,279
2/16/20,OSL,329,320
2/16/20,PRG,159,153
2/16/20,SVO,465,463
2/16/20,VCE,117,107
2/16/20,VIE,347,342
2/16/20,VKO,161,157
2/16/20,WAW,209,207
2/16/20,ZRH,299,289
2/17/20,AMS,662,655
2/17/20,ARN,300,281
2/17/20,ATH,209,201
2/17/20,BCN,431,424
2/17/20,BRU,279,273
2/17/20,BUD,158,156
2/17/20,CDG,611,599
2/17/20,CPH,342,333
2/17/20,DME,235,228
2/17/20,DUB,292,286
2/17/20,FCO,355,350
2/17/20,FRA,688,625
2/17/20,GVA,212,207
2/17/20,HEL,252,244
2/17/20,KEF,46,45
2/17/20,LGW,357,356
2/17/20,LHR,648,608
2/17/20,LIS,278,276
2/17/20,MAD,538,531
2/17/20,MAN,245,239
2/17/20,MUC,527,517
2/17/20,MXP,280,275
2/17/20,ORY,290,282
2/17/20,OSL,332,323
2/17/20,PRG,160,156
2/17/20,SVO,463,456
2/17/20,VCE,105,100
2/17/20,VIE,334,332
2/17/20,VKO,153,147
2/17/20,WAW,242,242
2/17/20,ZRH,297,292
2/18/20,AMS,613,610
2/18/20,ARN,284,273
2/18/20,ATH,175,166
2/18/20,BCN,337,332
2/18/20,BRU,252,245
2/18/20,BUD,132,129
2/18/20,CDG,586,576
2/18/20,CPH,303,300
2/18/20,DME,219,208
2/18/20,DUB,243,240
2/18/20,FCO,329,320
2/18/20,FRA,656,591
2/18/20,GVA,169,165
2/18/20,HEL,244,233
2/18/20,KEF,44,44
2/18/20,LGW,326,324
2/18/20,LHR,622,614
2/18/20,LIS,243,240
2/18/20,MAD,509,505
2/18/20,MAN,202,196
2/18/20,MUC,504,497
2/18/20,MXP,229,228
2/18/20,ORY,265,255
2/18/20,OSL,310,301
2/18/20,PRG,125,121
2/18/20,SVO,441,438
2/18/20,VCE,88,83
2/18/20,VIE,299,295
2/18/20,VKO,160,150
2/18/20,WAW,226,224
2/18/20,ZRH,274,273
2/19/20,AMS,620,609
2/19/20,ARN,299,287
2/19/20,ATH,201,192
2/19/20,BCN,355,350
2/19/20,BRU,259,254
2/19/20,BUD,138,135
2/19/20,CDG,595,576
2/19/20,CPH,316,309
2/19/20,DME,235,227
2/19/20,DUB,249,243
2/19/20,FCO,337,330
2/19/20,FRA,679,615
2/19/20,GVA,191,180
2/19/20,HEL,250,242
2/19/20,KEF,42,38
2/19/20,LGW,328,319
2/19/20,LHR,634,627
2/19/20,LIS,265,258
2/19/20,MAD,513,507
2/19/20,MAN,204,191
2/19/20,MUC,519,511
2/19/20,MXP,245,238
2/19/20,ORY,271,258
2/19/20,OSL,326,312
2/19/20,PRG,141,137
2/19/20,SVO,460,448
2/19/20,VCE,90,83
2/19/20,VIE,326,320
2/19/20,VKO,170,163
2/19/20,WAW,235,233
2/19/20,ZRH,295,293
2/20/20,AMS,664,642
2/20/20,ARN,316,301
2/20/20,ATH,198,189
2/20/20,BCN,390,383
2/20/20,BRU,268,262
2/20/20,BUD,144,137
2/20/20,CDG,611,591
2/20/20,CPH,335,332
2/20/20,DME,234,226
2/20/20,DUB,275,271
2/20/20,FCO,367,354
2/20/20,FRA,694,626
2/20/20,GVA,214,198
2/20/20,HEL,254,245
2/20/20,KEF,46,43
2/20/20,LGW,362,353
2/20/20,LHR,648,640
2/20/20,LIS,274,267
2/20/20,MAD,527,516
2/20/20,MAN,228,217
2/20/20,MUC,543,531
2/20/20,MXP,260,252
2/20/20,ORY,290,267
2/20/20,OSL,338,329
2/20/20,PRG,154,148
2/20/20,SVO,462,460
2/20/20,VCE,102,96
2/20/20,VIE,349,343
2/20/20,VKO,165,160
2/20/20,WAW,231,229
2/20/20,ZRH,295,293
2/21/20,AMS,657,646
2/21/20,ARN,304,295
2/21/20,ATH,228,219
2/21/20,BCN,445,444
2/21/20,BRU,285,277
2/21/20,BUD,161,161
2/21/20,CDG,633,621
2/21/20,CPH,355,348
2/21/20,DME,266,260
2/21/20,DUB,305,302
2/21/20,FCO,369,364
2/21/20,FRA,708,642
2/21/20,GVA,236,232
2/21/20,HEL,254,246
2/21/20,KEF,48,46
2/21/20,LGW,372,368
2/21/20,LHR,654,650
2/21/20,LIS,301,299
2/21/20,MAD,549,542
2/21/20,MAN,256,252
2/21/20,MUC,536,523
2/21/20,MXP,283,277
2/21/20,ORY,312,301
2/21/20,OSL,341,334
2/21/20,PRG,171,166
2/21/20,SVO,469,466
2/21/20,VCE,118,114
2/21/20,VIE,364,361
2/21/20,VKO,173,164
2/21/20,WAW,246,245
2/21/20,ZRH,315,312
2/22/20,AMS,564,550
2/22/20,ARN,193,189
2/22/20,ATH,187,178
2/22/20,BCN,365,354
2/22/20,BRU,195,187
2/22/20,BUD,119,117
2/22/20,CDG,559,553
2/22/20,CPH,236,230
2/22/20,DME,250,241
2/22/20,DUB,245,240
2/22/20,FCO,321,311
2/22/20,FRA,646,576
2/22/20,GVA,260,258
2/22/20,HEL,207,204
2/22/20,KEF,47,45
2/22/20,LGW,343,333
2/22/20,LHR,609,584
2/22/20,LIS,277,273
2/22/20,MAD,476,452
2/22/20,MAN,222,214
2/22/20,MUC,455,447
2/22/20,MXP,226,210
2/22/20,ORY,238,233
2/22/20,OSL,187,185
2/22/20,PRG,114,113
2/22/20,SVO,470,461
2/22/20,VCE,92,89
2/22/20,VIE,263,260
2/22/20,VKO,161,156
2/22/20,WAW,197,194
2/22/20,ZRH,267,263
2/23/20,AMS,669,527
2/23/20,ARN,298,262
2/23/20,ATH,230,218
2/23/20,BCN,466,436
2/23/20,BRU,268,255
2/23/20,BUD,152,146
2/23/20,CDG,651,612
2/23/20,CPH,338,314
2/23/20,DME,268,253
2/23/20,DUB,289,282
2/23/20,FCO,373,360
2/23/20,FRA,678,593
2/23/20,GVA,299,245
2/23/20,HEL,237,230
2/23/20,KEF,54,47
2/23/20,LGW,423,358
2/23/20,LHR,648,617
2/23/20,LIS,299,283
2/23/20,MAD,554,514
2/23/20,MAN,268,232
2/23/20,MUC,495,479
2/23/20,MXP,303,258
2/23/20,ORY,305,289
2/23/20,OSL,342,317
2/23/20,PRG,165,156
2/23/20,SVO,486,468
2/23/20,VCE,126,109
2/23/20,VIE,356,339
2/23/20,VKO,174,162
2/23/20,WAW,214,208
2/23/20,ZRH,306,295
2/24/20,AMS,678,640
2/24/20,ARN,313,272
2/24/20,ATH,216,200
2/24/20,BCN,447,431
2/24/20,BRU,287,274
2/24/20,BUD,161,153
2/24/20,CDG,631,600
2/24/20,CPH,374,339
2/24/20,DME,262,248
2/24/20,DUB,296,291
2/24/20,FCO,376,344
2/24/20,FRA,712,632
2/24/20,GVA,261,212
2/24/20,HEL,259,247
2/24/20,KEF,50,44
2/24/20,LGW,385,363
2/24/20,LHR,645,638
2/24/20,LIS,281,273
2/24/20,MAD,548,529
2/24/20,MAN,255,240
2/24/20,MUC,537,525
2/24/20,MXP,304,272
2/24/20,ORY,287,275
2/24/20,OSL,353,329
2/24/20,PRG,161,156
2/24/20,SVO,472,449
2/24/20,VCE,109,102
2/24/20,VIE,355,338
2/24/20,VKO,167,154
2/24/20,WAW,243,236
2/24/20,ZRH,308,297
2/25/20,AMS,639,610
2/25/20,ARN,301,269
2/25/20,ATH,186,174
2/25/20,BCN,360,337
2/25/20,BRU,263,248
2/25/20,BUD,148,132
2/25/20,CDG,608,577
2/25/20,CPH,340,313
2/25/20,DME,225,214
2/25/20,DUB,242,239
2/25/20,FCO,338,213
2/25/20,FRA,682,600
2/25/20,GVA,228,170
2/25/20,HEL,249,237
2/25/20,KEF,47,44
2/25/20,LGW,365,325
2/25/20,LHR,639,630
2/25/20,LIS,272,257
2/25/20,MAD,532,495
2/25/20,MAN,222,201
2/25/20,MUC,505,492
2/25/20,MXP,249,207
2/25/20,ORY,259,243
2/25/20,OSL,346,315
2/25/20,PRG,136,126
2/25/20,SVO,465,439
2/25/20,VCE,96,78
2/25/20,VIE,316,301
2/25/20,VKO,166,157
2/25/20,WAW,230,223
2/25/20,ZRH,286,278
2/26/20,AMS,651,608
2/26/20,ARN,313,277
2/26/20,ATH,206,191
2/26/20,BCN,392,367
2/26/20,BRU,271,259
2/26/20,BUD,146,131
2/26/20,CDG,625,578
2/26/20,CPH,350,324
2/26/20,DME,245,227
2/26/20,DUB,251,248
2/26/20,FCO,348,332
2/26/20,FRA,709,625
2/26/20,GVA,252,180
2/26/20,HEL,257,228
2/26/20,KEF,44,34
2/26/20,LGW,364,310
2/26/20,LHR,648,633
2/26/20,LIS,278,259
2/26/20,MAD,541,510
2/26/20,MAN,229,199
2/26/20,MUC,530,520
2/26/20,MXP,279,220
2/26/20,ORY,261,238
2/26/20,OSL,349,323
2/26/20,PRG,150,136
2/26/20,SVO,476,456
2/26/20,VCE,104,80
2/26/20,VIE,337,326
2/26/20,VKO,177,164
2/26/20,WAW,240,235
2/26/20,ZRH,306,287
2/27/20,AMS,693,654
2/27/20,ARN,333,296
2/27/20,ATH,214,197
2/27/20,BCN,435,406
2/27/20,BRU,276,262
2/27/20,BUD,150,139
2/27/20,CDG,639,591
2/27/20,CPH,370,337
2/27/20,DME,244,227
2/27/20,DUB,273,267
2/27/20,FCO,366,345
2/27/20,FRA,712,613
2/27/20,GVA,269,192
2/27/20,HEL,256,245
2/27/20,KEF,49,44
2/27/20,LGW,405,354
2/27/20,LHR,641,620
2/27/20,LIS,287,271
2/27/20,MAD,562,527
2/27/20,MAN,258,221
2/27/20,MUC,551,497
2/27/20,MXP,288,219
2/27/20,ORY,273,257
2/27/20,OSL,359,335
2/27/20,PRG,165,151
2/27/20,SVO,480,461
2/27/20,VCE,116,94
2/27/20,VIE,362,344
2/27/20,VKO,169,156
2/27/20,WAW,237,232
2/27/20,ZRH,308,293
2/28/20,AMS,687,652
2/28/20,ARN,316,289
2/28/20,ATH,238,222
2/28/20,BCN,466,450
2/28/20,BRU,289,280
2/28/20,BUD,170,163
2/28/20,CDG,657,616
2/28/20,CPH,378,354
2/28/20,DME,266,250
2/28/20,DUB,309,301
2/28/20,FCO,373,349
2/28/20,FRA,738,643
2/28/20,GVA,290,231
2/28/20,HEL,260,252
2/28/20,KEF,52,48
2/28/20,LGW,411,369
2/28/20,LHR,658,639
2/28/20,LIS,311,297
2/28/20,MAD,572,543
2/28/20,MAN,283,250
2/28/20,MUC,542,522
2/28/20,MXP,296,242
2/28/20,ORY,304,289
2/28/20,OSL,360,338
2/28/20,PRG,172,165
2/28/20,SVO,487,466
2/28/20,VCE,128,106
2/28/20,VIE,373,359
2/28/20,VKO,181,169
2/28/20,WAW,249,243
2/28/20,ZRH,326,317
2/29/20,AMS,605,554
2/29/20,ARN,197,186
2/29/20,ATH,189,177
2/29/20,BCN,380,351
2/29/20,BRU,204,188
2/29/20,BUD,132,121
2/29/20,CDG,597,549
