2/24/20,MIA,597,579
2/24/20,MSP,560,552
2/24/20,ORD,1298,1273
2/24/20,PHL,492,480
2/24/20,PHX,639,625
2/24/20,SAN,313,306
2/24/20,SEA,603,589
2/24/20,SFO,621,609
2/24/20,SLC,446,436
2/24/20,YUL,336,315
2/24/20,YVR,403,360
2/24/20,YYZ,624,598
2/25/20,ATL,1278,1260
2/25/20,BOS,645,592
2/25/20,BWI,333,321
2/25/20,CLT,828,821
2/25/20,DEN,881,871
2/25/20,DFW,994,977
2/25/20,DTW,559,556
2/25/20,EWR,648,637
2/25/20,FLL,448,436
2/25/20,IAD,441,414
2/25/20,IAH,702,696
2/25/20,JFK,582,572
2/25/20,LAS,624,615
2/25/20,LAX,929,903
2/25/20,LGA,569,563
2/25/20,MCO,539,524
2/25/20,MIA,613,587
2/25/20,MSP,571,563
2/25/20,ORD,1278,1251
2/25/20,PHL,525,512
2/25/20,PHX,662,647
2/25/20,SAN,318,314
2/25/20,SEA,602,591
2/25/20,SFO,624,607
2/25/20,SLC,453,448
2/25/20,YUL,322,300
2/25/20,YVR,424,370
2/25/20,YYZ,603,579
2/26/20,ATL,1264,1247
2/26/20,BOS,656,595
2/26/20,BWI,351,330
2/26/20,CLT,823,805
2/26/20,DEN,882,874
2/26/20,DFW,1005,988
2/26/20,DTW,542,537
2/26/20,EWR,639,617
2/26/20,FLL,458,446
2/26/20,IAD,410,395
2/26/20,IAH,694,689
2/26/20,JFK,592,583
2/26/20,LAS,596,580
2/26/20,LAX,930,898
2/26/20,LGA,579,571
2/26/20,MCO,541,525
2/26/20,MIA,639,598
2/26/20,MSP,574,564
2/26/20,ORD,1292,1242
2/26/20,PHL,530,516
2/26/20,PHX,648,638
2/26/20,SAN,319,312
2/26/20,SEA,596,585
2/26/20,SFO,608,594
2/26/20,SLC,441,436
2/26/20,YUL,325,279
2/26/20,YVR,431,373
2/26/20,YYZ,621,546
2/27/20,ATL,1288,1270
2/27/20,BOS,638,572
2/27/20,BWI,358,339
2/27/20,CLT,851,835
2/27/20,DEN,893,884
2/27/20,DFW,1038,1027
2/27/20,DTW,569,555
2/27/20,EWR,648,618
2/27/20,FLL,476,455
2/27/20,IAD,489,454
2/27/20,IAH,696,681
2/27/20,JFK,608,589
2/27/20,LAS,638,624
2/27/20,LAX,959,923
2/27/20,LGA,569,545
2/27/20,MCO,562,547
2/27/20,MIA,657,625
2/27/20,MSP,586,572
2/27/20,ORD,1333,1275
2/27/20,PHL,558,533
2/27/20,PHX,662,652
2/27/20,SAN,323,319
2/27/20,SEA,621,609
2/27/20,SFO,628,611
2/27/20,SLC,454,448
2/27/20,YUL,329,245
2/27/20,YVR,420,358
2/27/20,YYZ,633,463
2/28/20,ATL,1285,1270
2/28/20,BOS,648,592
2/28/20,BWI,350,342
2/28/20,CLT,846,838
2/28/20,DEN,904,888
2/28/20,DFW,1041,1026
2/28/20,DTW,561,557
2/28/20,EWR,652,630
2/28/20,FLL,481,469
2/28/20,IAD,455,434
2/28/20,IAH,715,704
2/28/20,JFK,606,596
2/28/20,LAS,662,638
2/28/20,LAX,960,922
2/28/20,LGA,564,555
2/28/20,MCO,567,556
2/28/20,MIA,650,614
2/28/20,MSP,583,572
2/28/20,ORD,1313,1273
2/28/20,PHL,544,526
2/28/20,PHX,665,655
2/28/20,SAN,316,313
2/28/20,SEA,619,601
2/28/20,SFO,645,632
2/28/20,SLC,458,443
2/28/20,YUL,367,330
2/28/20,YVR,430,372
2/28/20,YYZ,674,604
2/29/20,ATL,1076,1059
2/29/20,BOS,547,501
2/29/20,BWI,312,304
2/29/20,CLT,760,751
2/29/20,DEN,826,819
2/29/20,DFW,941,920
2/29/20,DTW,439,432
2/29/20,EWR,554,545
2/29/20,FLL,488,477
2/29/20,IAD,355,339
2/29/20,IAH,626,619
2/29/20,JFK,591,573
2/29/20,LAS,567,555
2/29/20,LAX,904,870
2/29/20,LGA,371,369
2/29/20,MCO,568,562
2/29/20,MIA,615,586
2/29/20,MSP,486,478
2/29/20,ORD,1183,1159
2/29/20,PHL,435,423
2/29/20,PHX,630,621
2/29/20,SAN,274,270
2/29/20,SEA,581,564
2/29/20,SFO,599,589
2/29/20,SLC,403,392
2/29/20,YUL,292,275
2/29/20,YVR,377,327
2/29/20,YYZ,570,528
3/1/20,ATL,1083,1068
3/1/20,BOS,554,502
3/1/20,BWI,294,284
3/1/20,CLT,804,797
3/1/20,DEN,793,788
3/1/20,DFW,951,936
3/1/20,DTW,484,479
3/1/20,EWR,572,566
3/1/20,FLL,484,475
3/1/20,IAD,405,386
3/1/20,IAH,614,611
3/1/20,JFK,599,583
3/1/20,LAS,595,581
3/1/20,LAX,860,828
3/1/20,LGA,394,391
3/1/20,MCO,572,564
3/1/20,MIA,623,587
3/1/20,MSP,451,442
3/1/20,ORD,1160,1125
3/1/20,PHL,466,454
3/1/20,PHX,599,587
3/1/20,SAN,270,269
3/1/20,SEA,535,517
3/1/20,SFO,558,545
3/1/20,SLC,395,389
3/1/20,YUL,310,287
3/1/20,YVR,366,315
3/1/20,YYZ,589,562
3/2/20,ATL,1280,1260
3/2/20,BOS,648,594
3/2/20,BWI,333,328
3/2/20,CLT,823,815
3/2/20,DEN,866,854
3/2/20,DFW,1001,989
3/2/20,DTW,552,547
3/2/20,EWR,610,606
3/2/20,FLL,473,465
3/2/20,IAD,435,419
3/2/20,IAH,701,694
3/2/20,JFK,605,591
3/2/20,LAS,687,663
3/2/20,LAX,924,892
3/2/20,LGA,572,568
3/2/20,MCO,561,554
3/2/20,MIA,590,564
3/2/20,MSP,560,556
3/2/20,ORD,1314,1269
3/2/20,PHL,495,481
3/2/20,PHX,656,645
3/2/20,SAN,326,317
3/2/20,SEA,602,587
3/2/20,SFO,626,610
3/2/20,SLC,457,440
3/2/20,YUL,336,314
3/2/20,YVR,410,357
3/2/20,YYZ,630,593
3/3/20,ATL,1266,1257
3/3/20,BOS,648,595
3/3/20,BWI,336,326
3/3/20,CLT,821,814
3/3/20,DEN,886,872
3/3/20,DFW,993,975
3/3/20,DTW,548,546
3/3/20,EWR,642,636
3/3/20,FLL,472,455
3/3/20,IAD,428,409
3/3/20,IAH,701,693
3/3/20,JFK,592,578
3/3/20,LAS,618,589
3/3/20,LAX,916,891
3/3/20,LGA,566,563
3/3/20,MCO,560,551
3/3/20,MIA,628,598
3/3/20,MSP,558,551
3/3/20,ORD,1282,1245
3/3/20,PHL,538,517
3/3/20,PHX,659,648
3/3/20,SAN,314,306
3/3/20,SEA,609,589
3/3/20,SFO,612,596
3/3/20,SLC,471,463
3/3/20,YUL,319,294
3/3/20,YVR,413,356
3/3/20,YYZ,629,597
3/4/20,ATL,1268,1248
3/4/20,BOS,654,599
3/4/20,BWI,341,335
3/4/20,CLT,827,822
3/4/20,DEN,887,875
3/4/20,DFW,992,976
3/4/20,DTW,550,548
3/4/20,EWR,644,633
3/4/20,FLL,466,459
3/4/20,IAD,449,427
3/4/20,IAH,705,690
3/4/20,JFK,591,578
3/4/20,LAS,592,575
3/4/20,LAX,932,901
3/4/20,LGA,576,568
3/4/20,MCO,560,547
3/4/20,MIA,632,597
3/4/20,MSP,562,554
3/4/20,ORD,1285,1247
3/4/20,PHL,531,520
3/4/20,PHX,659,642
3/4/20,SAN,314,306
3/4/20,SEA,602,585
3/4/20,SFO,618,605
