,flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved,date,month,day,weekday
0,560801744,10612001,N223LA,AS50,POLICE,,VNY,EMT,EMT,,2019-07-25,7,25,Thursday
1,560961967,11353317,N952JH,AS32,N952JH,,LGB,,,,2019-07-25,7,25,Thursday
2,560943481,11314118,N913WB,AS50,N913WB,,SMO,,,,2019-07-25,7,25,Thursday
3,560782493,10865027,N472LA,AS50,N472LA,,,BUR,BUR,,2019-07-25,7,25,Thursday
4,560938809,10865027,N472LA,AS50,N472LA,,,BUR,BUR,,2019-07-25,7,25,Thursday
5,560960761,11057465,N661PD,AS50,N661PD,,,VNY,VNY,,2019-07-25,7,25,Thursday
6,560915519,10616756,N228LA,AS50,N228LA,,VNY,,,,2019-07-25,7,25,Thursday
7,560794622,11351458,N950LA,AS50,N950LA,,CPM,,,,2019-07-25,7,25,Thursday
8,560949319,10616756,N228LA,AS50,N228LA,,,,,,2019-07-25,7,25,Thursday
9,560941523,11362520,N961LA,AS50,N961LA,,FUL,,,,2019-07-25,7,25,Thursday
10,560971299,10527058,N14LA,B412,N14LA,,POC,,,,2019-07-25,7,25,Thursday
11,560934233,10616756,N228LA,AS50,N228LA,,,,,,2019-07-25,7,25,Thursday
12,560909657,11100597,N703WP,AS50,N703WP,,VNY,VNY,VNY,,2019-07-25,7,25,Thursday
13,560781233,11057465,N661PD,AS50,N661PD,,,BUR,BUR,,2019-07-25,7,25,Thursday
14,560750676,11353317,N952JH,AS32,N952JH,,,,,,2019-07-25,7,25,Thursday
15,560939084,11058416,N662PD,AS50,N662PD,,VNY,,,,2019-07-25,7,25,Thursday
16,560883377,10865027,N472LA,AS50,N472LA,,,BUR,BUR,,2019-07-25,7,25,Thursday
17,560937028,11101548,N704WP,AS50,N704WP,,WHP,BUR,BUR,,2019-07-25,7,25,Thursday
18,560774312,10695270,N305FD,A139,N305FD,,VNY,VNY,VNY,,2019-07-25,7,25,Thursday
19,560888287,10616756,N228LA,AS50,N228LA,,,,,,2019-07-25,7,25,Thursday
20,560900926,10865027,N472LA,AS50,N472LA,,,,,,2019-07-25,7,25,Thursday
