"STATION","NAME","DATE","ACSH","PSUN","TAVG","TMAX","TMIN","TSUN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-01",,,,"80","54",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-02",,,,"72","52",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-03",,,,"73","50",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-04",,,,"72","51",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-05",,,,"70","51",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-06",,,,"68","49",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-07",,,,"65","51",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-08",,,,"68","49",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-09",,,,"66","49",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-10",,,,"63","45",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-11",,,,"64","47",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-12",,,,"64","46",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-13",,,,"64","45",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-14",,,,"59","47",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-15",,,,"66","44",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-16",,,,"65","46",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-17",,,,"63","46",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-18",,,,"56","51",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-19",,,,"61","48",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-20",,,,"57","48",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-21",,,,"59","50",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-22",,,,"58","48",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-23",,,,"59","42",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-24",,,,"62","45",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-25",,,,"67","46",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-26",,,,"57","47",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-27",,,,"70","47",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-28",,,,"67","48",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-29",,,,"65","51",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1964-01-30",,,,"63","49",
