Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,2.236462489,1.432843226,0.823501772,0.580333649,0.573498328,0.599694129,0.590950867,0.572063302,0.609679886,0.570440581,0.62778659,0.682367621,0.64454568,0.481936625,0.207955183,-0.110525502,-0.363781075,-0.438291368,-0.216533223,0.208213686,0.769119805,1.279733959,1.411551999,0.980501941,0.31466057,-0.603173653,-1.296580747,-1.246456623,-0.06387945,1.816829615,3.898738693,5.446051861,6.048669078,5.644930133,4.61015602,3.531109513,2.655185894,2.118993196,1.961614669,2.06484056,2.20516342,2.235514952,2.108323583,1.765472909,1.291950435,0.798578361,0.391971045,0.134262662,0.088751275,0.209731414,0.377979489,0.503385468,0.58329043,0.590508189,0.541048337,0.502859514,0.471874003,0.459265888,0.437414676,0.428016948,0.401008198
Africa Eastern and Southern,AFE,2.539822045,2.575181508,2.606838848,2.633212739,2.656488448,2.677083885,2.699647065,2.728246267,2.764599588,2.805011552,2.8445072,2.878912731,2.906277693,2.926069128,2.939789098,2.950883794,2.960983318,2.966164408,2.972448928,2.974336132,2.970647776,2.965383802,2.965635553,2.975572595,2.986493217,2.997632811,3.001095388,2.987171897,2.956404812,2.913058531,2.871078331,2.832013496,2.791294245,2.751373997,2.710420057,2.673851161,2.642958904,2.621264387,2.612969847,2.612275506,2.614605363,2.619585878,2.629364121,2.64581128,2.666015223,2.685749124,2.703187833,2.7200228,2.734577761,2.74740956,2.756619249,2.763425798,2.761495568,2.750400213,2.73259764,2.712217978,2.690901728,2.665619539,2.636666337,2.605427487,2.572460743
Afghanistan,AFG,1.898498719,1.965804828,2.029830298,2.090207709,2.147638846,2.171068186,2.188164589,2.25448537,2.384674381,2.536743603,2.665128505,2.714538547,2.659056585,2.479516591,2.200731281,1.981388587,1.747747775,1.281715197,0.522282315,-0.407658192,-1.39341634,-2.219779588,-2.712854086,-2.695381732,-2.20451624,-1.706755536,-1.127989402,0.116007965,2.136295072,4.47695438,6.900124486,8.546107005,8.790896707,7.659795534,5.884278564,4.019477716,2.636501764,1.947343862,2.170428511,2.975057223,3.902804964,4.496718747,4.668343795,4.321559517,3.682699881,2.990523836,2.493830391,2.268273041,2.396978302,2.746614638,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093,2.303412133
Africa Western and Central,AFW,2.085971679,2.133724516,2.173360929,2.202844974,2.226134114,2.24805556,2.273562284,2.30415269,2.341521928,2.383870787,2.423952085,2.463133535,2.508706687,2.561799419,2.617949601,2.672785692,2.71973232,2.754119213,2.773436687,2.781425446,2.784997935,2.787464727,2.786850797,2.783816807,2.778694503,2.773111105,2.765698003,2.754037944,2.737518337,2.718931855,2.699364096,2.683420419,2.675496448,2.677430134,2.685859559,2.697325182,2.706866803,2.71216021,2.711399671,2.70753222,2.701705488,2.699588557,2.706139259,2.723453484,2.746731093,2.770643398,2.788722003,2.798112308,2.796558411,2.787372535,2.775170989,2.763802508,2.753564154,2.745542205,2.738331566,2.730331791,2.719329942,2.704168038,2.684151739,2.660901631,2.636290838
Angola,AGO,1.39289146,1.383295771,1.256405222,0.973970072,0.618450361,0.18580534,-0.118815374,-0.042731886,0.547771905,1.482543414,2.529200702,3.380672667,3.896823948,3.987886048,3.806905212,3.574803462,3.432138414,3.353879221,3.37390728,3.453859477,3.524002469,3.552752715,3.567178307,3.564178612,3.547815028,3.531784832,3.514328259,3.48243869,3.434478954,3.378411204,3.324464731,3.280272449,3.246643198,3.226227166,3.216807477,3.214262263,3.217312688,3.228921462,3.249266492,3.277215347,3.301173785,3.329262382,3.378794366,3.452987549,3.537604763,3.619584119,3.680601168,3.710554891,3.703841815,3.671493333,3.634150215,3.597754539,3.551997427,3.497447411,3.438869368,3.378269432,3.322158363,3.276144588,3.242914028,3.218530352,3.195915508
Albania,ALB,3.120855371,3.056730503,2.953748762,2.880686426,2.754021238,2.63456388,2.630190345,2.84251071,2.896083388,2.550851178,2.422972017,2.494973107,2.362552224,2.297214176,2.30115381,2.208235255,2.213252179,2.075741895,1.98945702,2.047963861,2.002974306,2.113271783,2.120885334,2.103936618,2.055994609,1.933220811,1.997039956,1.886710529,2.687861989,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.574206959,-0.926918062
Andorra,AND,6.969856327,6.73036819,6.470513057,6.254806096,5.978229519,5.783532607,5.515430305,5.28191047,5.194874982,5.165110136,5.201188269,5.010961339,4.888757611,4.444252232,3.952689909,3.447458401,3.058285474,2.931967721,3.153289593,3.493188932,3.902018923,4.221842692,4.349871059,4.433468986,4.323747045,4.230543162,4.083575195,3.992764312,3.925274295,3.844901422,3.882690372,3.836105763,3.491210257,2.753105544,1.871458804,0.784574655,-0.069940398,-0.277133559,0.354842094,1.575272637,2.944447046,3.936690931,4.374143825,4.10952559,3.379619093,2.657381795,2.06144998,1.414681757,0.714114762,-0.008288192,-0.839471761,-1.589923668,-2.030744369,-1.946518269,-1.552134769,-0.898980862,-0.386281039,0.014285251,0.179041785,0.154134127,0.115121699
Arab World,ARB,2.740659028,2.755250118,2.773687356,2.797644457,2.823647927,2.858244843,2.88777165,2.892623088,2.867067975,2.827183687,2.774621275,2.74360299,2.770290686,2.868440264,3.007165677,3.151013799,3.259571583,3.318090024,3.314087701,3.267353182,3.210182611,3.160193457,3.109857883,3.063230037,3.018270513,2.967807078,2.912167916,2.858267327,2.80736526,3.678351643,2.729938457,1.847008323,2.69875864,2.59406853,3.11993922,2.328512435,2.247571019,2.172631568,2.150241261,2.152845616,2.156238121,2.161010461,2.18847253,2.241337147,2.3071735,2.377079851,2.430739902,2.453954266,2.43302065,2.38321483,2.329382834,2.280225773,2.223478201,2.160504112,2.095506434,2.023741985,1.955221378,1.919966442,1.909788261,1.918912231,1.934746128
United Arab Emirates,ARE,8.683733181,10.63500954,10.98548252,9.825549772,8.205946531,6.537439671,5.939024249,7.297469208,10.63057483,14.37935198,16.81808317,17.6334103,17.59142529,16.9371419,15.95060974,15.14088259,14.21202075,12.76854576,10.90387306,9.000777125,7.289713069,6.034682682,5.31957757,5.195610155,5.42925326,5.706048692,5.85016277,5.920996297,5.88392357,5.784264577,5.776096321,5.802706395,5.692129473,5.429052153,5.127893309,5.007767809,5.077012222,5.173952161,5.289641917,5.510750099,5.241545482,5.193151862,6.487373081,9.174108048,12.01992783,14.42466877,15.17725135,13.91010551,11.04459859,7.687222167,4.536241844,2.15417386,0.614086082,0.176775198,0.527292388,1.053270899,1.339470237,1.503937821,1.438677058,1.219428682,1.012840548
Argentina,ARG,1.624717139,1.600079427,1.575354238,1.549257977,1.524294968,1.497718836,1.477606552,1.475753317,1.496604597,1.531527655,1.574602505,1.609464237,1.622670341,1.606684604,1.572154307,1.530444261,1.499160509,1.487837809,1.503748522,1.536980274,1.571941814,1.596433496,1.610528736,1.610390314,1.598566074,1.584792374,1.568941442,1.541803574,1.501814363,1.452964749,1.401455104,1.352157951,1.306053433,1.265333432,1.229233608,1.19362308,1.159504919,1.132215016,1.113380523,1.100608135,1.092033612,1.08355691,1.072004712,1.055389439,1.036268365,1.015454578,0.998884153,0.992570476,0.999542289,0.752217993,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991,0.947490959
Armenia,ARM,3.532115772,3.443803805,3.330780204,3.193573704,3.044639624,2.884839866,2.734413581,2.616410962,2.541048875,2.491265076,2.450803634,2.396663146,2.323167451,2.222625592,2.104848204,1.986352375,1.878436942,1.785501456,1.709717583,1.647560567,1.547345911,1.438104116,1.395980065,1.44084857,1.520584675,1.67445452,1.74408746,1.515708916,0.903439396,0.047804574,-0.93463892,-1.797065633,-2.342446454,-2.390656635,-2.040214356,-1.5390022,-1.115084109,-0.781512818,-0.634784876,-0.630760588,-0.617979926,-0.549251282,-0.530015382,-0.572322312,-0.65038928,-0.773158375,-0.872060059,-0.856135895,-0.673638853,-0.37395489,-0.027042763,0.267429455,0.461930535,0.509812126,0.450705992,0.361260408,0.293899006,0.235799808,0.202624028,0.185983345,0.165021157
American Samoa,ASM,2.347156754,3.063487757,3.619112478,3.65913502,3.546852173,3.315082997,3.066145075,2.909509145,2.726164499,2.456653326,2.240625681,2.058573738,1.869407796,1.67641665,1.509082964,1.35539265,1.236779295,1.378532524,1.83828706,2.499742503,3.162521452,3.70531421,4.046389901,4.12382427,4.066807976,3.95165199,3.88099508,3.686386613,3.431187654,3.125354917,2.772141318,2.471165085,2.229470594,2.083004602,2.012285615,1.957833546,1.860501781,1.710885754,1.534972599,1.335500631,1.169282185,0.988330194,0.705059764,0.317170237,-0.213014061,-0.755064009,-1.263253545,-1.513964199,-1.427782324,-1.048262953,-0.588347444,-0.154365338,0.086186779,0.132725923,0.026882443,-0.120130903,-0.219117154,-0.280883888,-0.269018786,-0.20812792,-0.170444284
Antigua and Barbuda,ATG,1.599858198,1.522753006,1.514022701,1.644227278,1.818857087,2.045412803,2.192375184,2.073391826,1.63397144,0.987975501,0.264513372,-0.342444765,-0.759103056,-0.853606957,-0.694872369,-0.508703426,-0.306790587,-0.199678005,-0.145177707,-0.140539079,-0.116457757,-0.01456676,-0.00161866,0.008093038,0.001618529,-0.050186582,-0.06641451,0.072891613,0.402376013,0.84471355,1.318567747,1.71492679,2.024087038,2.141789522,2.165341864,2.166482523,2.158199961,2.086657828,1.967702252,1.769346866,1.572944406,1.396717452,1.285477288,1.297792207,1.378189901,1.526431021,1.57610133,1.611386336,1.567388321,1.472794154,1.376375519,1.288027737,1.21265579,1.143043433,1.084181616,1.00909459,0.952914631,0.894078681,0.861445784,0.833667149,0.813607938
Australia,AUS,1.989740046,2.440639401,1.917816478,1.96235442,1.959716895,2.283184382,1.262276888,1.764158656,2.09302301,1.970188879,3.380293537,1.838146263,1.528816914,2.531220259,1.231185888,1.00265826,1.12667268,1.162885259,1.08064227,1.21894271,1.586852569,1.667535733,1.250548264,1.132221845,1.367346075,1.638988867,1.520986626,1.636206657,1.69256678,1.479978016,1.274577578,1.213390775,0.978336681,1.058508842,1.208019812,1.313819299,1.11872569,1.042235716,1.142505187,1.192272323,1.348358342,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.536105516,1.521653677,1.282933137,0.178832418
Austria,AUT,0.548472356,0.612895848,0.642362671,0.666548205,0.649729876,0.701396116,0.74742522,0.519254262,0.345331646,0.349218946,0.446245581,0.581190352,0.554041399,0.170205768,-0.265319411,-0.176672285,0.038390494,-0.080961042,-0.170463648,0.000105968,0.255018231,0.071717018,-0.161600981,-0.006294904,0.046950968,0.063548997,0.063284204,0.14157085,0.4505139,0.762001611,0.998418103,1.100552287,0.824627941,0.384869547,0.153106261,0.135019834,0.113316608,0.109728368,0.194563153,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502,1.081396299,0.694621104,0.487071925,0.444673639,0.415176732,0.441053528
Azerbaijan,AZE,3.405116148,3.441140536,3.386833308,3.22798061,3.003996783,2.768594578,2.558192488,2.373912095,2.226789392,2.108981808,1.997017979,1.888529221,1.800174004,1.735382918,1.689479633,1.65348809,1.623300284,1.603764664,1.593631628,1.591266881,1.589979082,1.591335402,1.601581288,1.622124037,1.646524939,1.668812982,1.680174357,1.676464495,1.653157738,0.675750576,1.330445679,1.51162852,1.515806893,1.348475012,1.15566614,1.011799917,0.964673774,0.949138147,0.8775987,0.821519964,0.774765939,0.746173583,0.757650956,0.87542728,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.981261805,0.866316916,0.846646726,0.684365325,0.514776736
Burundi,BDI,1.929599617,1.905762744,1.944835382,2.065805927,2.22488089,2.430112589,2.575569562,2.540748448,2.280674644,1.890704762,1.453285425,1.117108152,0.988610482,1.1393001,1.482230072,1.873538506,2.192154315,2.430194522,2.549352782,2.584210267,2.593364374,2.618788701,2.654507633,2.710043639,2.768785421,2.820667707,2.832539302,2.776995595,2.641791882,2.45479768,2.289546589,2.144806199,1.959113387,1.725439826,1.48210589,1.213015056,1.018212346,1.030811486,1.310064368,1.767228872,2.273350542,2.699733659,3.012624772,3.169974038,3.217168102,3.246097539,3.288916349,3.301182346,3.287161878,3.256196461,3.207713007,3.159785095,3.133498082,3.136756792,3.156907954,3.177014855,3.181200079,3.166911697,3.128932148,3.07610176,3.020562849
Belgium,BEL,0.332205946,0.398054787,0.747606931,0.946477536,0.908137002,0.675463567,0.556645555,0.393391108,0.283169669,0.098613692,0.182247071,0.391585907,0.314658766,0.314633665,0.288978161,0.178674447,0.123479645,0.09329996,0.089882551,0.110211166,-0.002637154,-0.027176883,-0.007944471,-0.001501708,0.029786423,0.035648851,0.085252141,0.317926245,0.363247986,0.298235706,0.371593166,0.405713496,0.390638518,0.308197074,0.209436838,0.195393176,0.241991885,0.213527651,0.229189103,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.301002902,0.620163579,0.471340144,0.443929288,0.579446242,0.506300002,0.385228018,0.455184695,0.540461327,0.479838283,0.377319901
Benin,BEN,1.398619057,1.490620227,1.584214388,1.680619416,1.778396308,1.874090511,1.962197657,2.036656575,2.093888449,2.1406701,2.181711565,2.225555792,2.277675898,2.340398842,2.410129397,2.480400397,2.544921638,2.60135651,2.64871307,2.689537877,2.732320149,2.777493469,2.817149932,2.852027793,2.885283002,2.90247054,2.925520105,2.988502512,3.101019754,3.234835391,3.377241447,3.47909842,3.500700115,3.426009883,3.29359954,3.145638825,3.028241603,2.958688181,2.95165994,2.983861929,3.023782383,3.043235856,3.039605885,3.005315906,2.952371363,2.897521298,2.854098759,2.823522041,2.809426641,2.805976233,2.803761755,2.797721181,2.790716434,2.78209237,2.771837886,2.761360928,2.749902222,2.734856203,2.71521855,2.692373813,2.668262351
Burkina Faso,BFA,1.34292186,1.334339712,1.351283294,1.403836458,1.479192592,1.562378096,1.63532,1.68920042,1.717322412,1.729121182,1.741077839,1.762967973,1.79184759,1.83041161,1.878083335,1.922691457,1.971204755,2.040125196,2.13355953,2.240726279,2.351338987,2.447803734,2.519601816,2.559675697,2.577862197,2.590172504,2.606009086,2.621729313,2.639540005,2.659198504,2.676957423,2.692933875,2.709647467,2.727312649,2.745974099,2.764769129,2.783847605,2.802865929,2.822245665,2.842006974,2.858807814,2.875951284,2.898479666,2.927591386,2.959171309,2.989003742,3.01189362,3.024898725,3.02644987,3.019212844,3.009045176,2.997403812,2.981663984,2.961875333,2.939350568,2.915213081,2.890750882,2.866979114,2.844596498,2.823230736,2.801191398
Bangladesh,BGD,2.771546736,2.77561887,2.816698003,2.906866566,3.012123005,3.150239976,3.23045269,3.141833338,2.850255095,2.44704269,2.002390797,1.655747591,1.507269009,1.620042646,1.907848377,2.238437512,2.496349568,2.668067242,2.718195326,2.685759996,2.636987401,2.612847007,2.599426575,2.605614616,2.620578258,2.634987613,2.630229366,2.595031948,2.523386815,2.429600981,2.325300363,2.233027864,2.168257758,2.140079812,2.134497633,2.130477876,2.111544531,2.077336931,2.022751815,1.952390462,1.886286259,1.820058047,1.731269203,1.615199537,1.484746964,1.347121031,1.226630505,1.145647438,1.116806435,1.124806897,1.143828671,1.154006105,1.155950914,1.142930216,1.119091033,1.095288404,1.075535249,1.0535703,1.029196649,1.002774181,0.975322375
