fips,county_name,state_abbr,left,arrived,net
04013,Maricopa County,AZ,530616,671812,141196
32003,Clark County,NV,291987,392234,100247
48453,Travis County,TX,425184,496981,71797
06065,Riverside County,CA,376481,437530,61049
12071,Lee County,FL,113530,168436,54906
48121,Denton County,TX,218651,272631,53980
48491,Williamson County,TX,129075,179698,50623
48085,Collin County,TX,249080,298436,49356
48157,Fort Bend County,TX,142615,187223,44608
12099,Palm Beach County,FL,269402,312479,43077
12101,Pasco County,FL,102661,143539,40878
48339,Montgomery County,TX,106039,145130,39091
12105,Polk County,FL,104604,142907,38303
12103,Pinellas County,FL,186645,224723,38078
45051,Horry County,SC,37093,68124,31031
37183,Wake County,NC,211179,241704,30525
04021,Pinal County,AZ,74212,103581,29369
12115,Sarasota County,FL,79199,108379,29180
12009,Brevard County,FL,73452,102448,28996
48029,Bexar County,TX,275253,304191,28938
12081,Manatee County,FL,62916,91592,28676
12127,Volusia County,FL,81470,109199,27729
12069,Lake County,FL,65859,93168,27309
48439,Tarrant County,TX,385954,413251,27297
53053,Pierce County,WA,182386,208407,26021
53061,Snohomish County,WA,148747,172733,23986
08031,Denver County,CO,307458,331412,23954
16001,Ada County,ID,67294,90801,23507
53011,Clark County,WA,73313,95464,22151
12111,St. Lucie County,FL,51373,73412,22039
37119,Mecklenburg County,NC,246874,268708,21834
12109,St. Johns County,FL,41369,63055,21686
10005,Sussex County,DE,23063,44651,21588
08123,Weld County,CO,51869,72779,20910
08035,Douglas County,CO,84523,104874,20351
51107,Loudoun County,VA,79581,99442,19861
06067,Sacramento County,CA,235888,253556,17668
12021,Collier County,FL,63206,80775,17569
06061,Placer County,CA,81498,97990,16492
41017,Deschutes County,OR,28891,45283,16392
13117,Forsyth County,GA,36514,52704,16190
12097,Osceola County,FL,98982,114813,15831
04025,Yavapai County,AZ,31602,47414,15812
12083,Marion County,FL,46565,62284,15719
18057,Hamilton County,IN,59663,75353,15690
08059,Jefferson County,CO,175035,190427,15392
32031,Washoe County,NV,64698,79732,15034
48091,Comal County,TX,30873,45781,14908
08001,Adams County,CO,142329,157236,14907
48209,Hays County,TX,50785,65497,14712
