storenumber,name,streetaddress,city,state,zipcode,latitude,longitude,distance,imageurlthumb,opened_date,opened_year
140,Culver City,13425 Washington Blvd.,Marina Del Rey,CA,90292,33.99165,-118.44626,0.8200000000000001,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/140.jpg,1999-10-28,1999
117,Westchester,9149 S. Sepulveda Blvd.,Los Angeles,CA,90045,33.95369,-118.39677,3.08,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/117.jpg,1997-01-22,1997
55,West Los Angeles,9245 W. Venice Blvd.,Los Angeles,CA,90034,34.02646,-118.39427,3.6,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/55.jpg,1989-09-06,1989
309,El Segundo,600 N. Sepulveda Blvd.,El Segundo,CA,90245,33.92387,-118.39582,4.8100000000000005,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/309.jpg,2015-12-30,2015
119,Westwood,922 Gayley,Los Angeles,CA,90024,34.06306,-118.44803,5.39,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/119.jpg,1997-04-01,1997
166,Inglewood,3411 W. Century Blvd.,Inglewood,CA,90301,33.94579,-118.33238,6.44,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/166.jpg,2002-08-06,2002
92,Redondo Beach,3801 Inglewood Ave.,Redondo Beach,CA,90278,33.89208,-118.36179,7.69,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/92.jpg,1993-12-03,1993
102,Hollywood,7009 Sunset Blvd.,Hollywood,CA,90028,34.09822,-118.34171,9.38,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/102.jpg,1994-12-15,1994
270,Torrance,20150 Hawthorne Blvd,Torrance,CA,90503,33.84883,-118.35312,10.55,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/270.jpg,2012-03-14,2012
310,Gardena,1701 Artesia Blvd.,Gardena,CA,90248,33.8732,-118.30729,10.65,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/310.jpg,2016-01-21,2016
111,Studio City,3640 Cahuenga Blvd.,Los Angeles,CA,90068,34.13508,-118.36062,11.13,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/111.jpg,1995-12-27,1995
85,Sherman Oaks,4444 Van Nuys Blvd.,Sherman Oaks,CA,91403,34.1521,-118.44831,11.52,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/85.jpg,1993-07-15,1993
74,Huntington Park,6000 Pacific Blvd.,Huntington Park,CA,90255,33.98704,-118.2248,11.98,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/74.jpg,1992-04-23,1992
347,Compton ,2200 S. Central Ave.,Compton,CA,90220,33.87269,-118.24841,13.21,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/347.jpg,2019-10-24,2019
9,North Hollywood,5864 Lankershim Blvd,N. Hollywood,CA,91601,34.17746,-118.38194,13.57,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/9.jpg,1971-05-10,1971
30,Torrance (Carson St.),730 W. Carson St.,Torrance,CA,90502,33.83114,-118.28839,13.57,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/30.jpg,1983-12-23,1983
75,Torrance (Crenshaw & Lomita),24445 Crenshaw Blvd.,Torrance,CA,90505,33.80279,-118.32835,14.04,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/75.jpg,1992-07-30,1992
287,South Gate,4601 Firestone Blvd.,South Gate,CA,90280,33.95274,-118.18831,14.26,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/287.jpg,2013-10-31,2013
18,Woodland Hills,19920 Ventura Blvd.,Woodland Hills,CA,91364,34.17195,-118.56664,14.95,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/18.jpg,1976-02-08,1976
174,Glendale (Brand & Broadway),119 S. Brand Blvd.,Glendale,CA,91204,34.1456,-118.25545,15.04,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/174.jpg,2003-06-12,2003
110,Burbank,761 First Street,Burbank,CA,91502,34.18497,-118.31607,15.32,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/110.jpg,1995-12-14,1995
196,Van Nuys (Balboa),7220 N. Balboa,Van Nuys,CA,91406,34.20186,-118.5007,15.42,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/196.jpg,2005-10-05,2005
134,Van Nuys,7930 Van Nuys Blvd.,Van Nuys,CA,91402,34.21504,-118.44821,15.86,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/134.jpg,1998-12-10,1998
157,Glendale (Harvey & Holly),310 N. Harvey Dr.,Glendale,CA,91206,34.14868,-118.22735,16.32,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/157.jpg,2001-11-15,2001
10,Panorama City,13651 Roscoe Blvd.,Panorama City,CA,91402,34.22201,-118.43073,16.33,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/10.jpg,1972-03-10,1972
206,Canoga Park,6841 Topanga Canyon Blvd.,Canoga Park,CA,91303,34.19492,-118.60635,17.51,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/206.jpg,2007-04-10,2007
151,San Pedro,1090 N. Western Ave.,San Pedro,CA,90732,33.75336,-118.30862,17.62,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/151.jpg,2001-06-14,2001
112,Downey,8767 Firestone Blvd.,Downey,CA,90241,33.93609,-118.12421,18.09,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/112.jpg,1996-03-05,1996
208,Northridge (Tampa Ave.),8830 Tampa Ave.,Northridge,CA,91324,34.23079,-118.55324,18.26,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/208.jpg,2007-08-09,2007
35,Northridge (Balboa & Lassen),9858 Balboa Blvd.,Northridge,CA,91325,34.25,-118.50196,18.67,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/35.jpg,1984-12-26,1984
265,Signal Hill,799 E. Spring St.,Signal Hill,CA,90755,33.81199,-118.18333,18.75,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/265.jpg,2011-10-27,2011
121,Alhambra,1210 N. Atlantic Blvd.,Alhambra,CA,91801,34.10603,-118.13437,19.06,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/121.jpg,1997-05-14,1997
344,Bellflower,17325 Bellflower Blvd. ,Bellflower ,CA,90706,33.8751,-118.12539,19.28,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/344.jpg,2019-08-23,2019
337,Monterey Park ,5500 Market Place Dr. ,Monterey Park ,CA,91755,34.03638,-118.09739,19.59,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/337.jpg,2018-12-06,2018
40,Lakewood,5820 Bellflower Blvd.,Lakewood,CA,90713,33.86098,-118.12471,19.73,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/40.jpg,1985-12-28,1985
333,Long Beach,4041 Lakewood Blvd.,Long Beach,CA,90712,33.83164,-118.143,19.81,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/333.jpg,2018-06-28,2018
16,Tujunga,6225 Foothill Blvd.,Tujunga,CA,91042,34.24106,-118.26655,20.07,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/16.jpg,1975-04-09,1975
49,Pico Rivera,9070 Whittier Blvd.,Pico Rivera,CA,90660,34.00053,-118.08306,20.13,https://www.in-n-out.com/ino-images/default-source/location-store-images/thumbnail/49.jpg,1988-05-13,1988
