exported_to,us_dollar
Afghanistan,204267014
Albania,1378936
Algeria,69317847
Angola,36684587
Argentina,23795978
Armenia,4864356
Aruba,307410
Australia,169520469
Austria,23738320
Azerbaijan,35887008
Bahamas,68000
Bahrian,9709584
Bangladesh,123813890
Barbados,18781
Belarus,13105414
Belgium,246036890
Belize,282223
Benin,24484253
Bosnia and Hercegovina,3248335
Botswana,1065299
Brazil,369444065
Brunei,1489147
Bulgaria,5004447
Burkina Faso,58878
Burundi,308556
Cambodia,38479446
Cameroon,44180369
Canada,177563254
Cape Verde,13631
Cayman Islands,4317
Ceuta,39568
Chad,2922935
Chile,91210653
Colombia,34337181
Comoros,26135
Congo,15591922
Costa Rica,9042508
Cote d'lvoire,39954755
Croatia,11443095
Cuba,1484126
Cyprus,345289
Czech Republic,8364721
Denmark,6145190
Djibouti,28633505
Dominica,118927
Dominican Republic,6780505
Ecuador,15693945
Egypt,76596646
El Salvador,2531480
Equatorial Guinea,123523
Eritrea,107077
Estado Plurinacional de Bolivia,587092
Estonia,581815
Ethiopia,22503369
Fiji,4616834
Finland,2701303
France,63879649
French Guiana,599334
Gabon,1736328
Gambia,4318012
Georgia,14717429
Germany,346346669
Ghana,174199617
Greece,63709485
Grenada,14270
Guatemala,5667381
Guinea,15519206
Guinea-Bissau,12600
Guyana,2265105
Haiti,4690380
Honduras,1661485
Hong Kong-China,234254680
Hungary,117798391
Iceland,52688
India,1017187461
Indonesia,310687443
Iran,41955314
Iraq,43076492
Ireland,3800724
Israel,45239492
Italy,456837042
Jamaica,3031540
Japan,339662010
Jordan,34310437
Kazakhstan,23567538140
Kenya,45821344
Korea Rep.,354603316
Kuwait,19410165
Kyrgyzstan,14866972113
Lao PDR,788674
Latvia,1884183
Lebanon,19555524
Lesotho,10500
Liberia,1067670
Libyan Arab Jamahiriya,4911280
Lithuania,47887280
Luxembourg,2755
Macau-China,169159
Madagascar,6305227
Malawi,221911
Malaysia,339995518
Maldives,1438981
Mali,90237
Malta,5237453
Mauritania,2592434
Mauritius,5971679
Mayotte,196981
Mexico,92259211
Micronesia Fs,70455
Moldova,1136058
Mongolia,98599462
Montenegro,456592
Morocco,7324191
Mozambique,11750814
Myanmar,94006059
Namibia,8317680
Nepal,8777603
Netherlands,315170744
New Zealand,25266536
Nicaragua,966080
Niger,16935810
Nigeria,268961673
North Korea,2183979
Norway,19705847
Oman,47596545
Oth. Ocean. nes,225
Pakistan,1103146920
Palestine,336781
Panama,24388708
Papua New Guinea,6987087
Paraguay,4766082
Peru,46447352
Philippines,297548613
Poland,109873309
Portugal,18234487
Puerto Rico,3531820
Qatar,17498084
Republic of North Macedonia,415779
Republic of South Sudan,1405254
Reunion,918961
Romania,24446702
Russian Federation,4339204979
Rwanda,220516
Saint  Kitts and Nevis,212043
Saint Lucia,12159
Samoa,57383
Saudi Arabia,202075156
Senegal,37125068
Serbia,2267488
Seychelles,390442
Sierra Leone,9379394
Singapore,177440897
Slovakia,8717587
Slovenia,11111105
Solomon Islands,327059
Somalia,758234
South Africa,163558018
Spain,198968438
Sri Lanka,33278423
Sudan,66491834
Suriname,933854
Sweden,10147143
Switzerland,14000104
Syrian Arab Republic,7510040
Taiwan,117717787
Tajikistan,2919888343
Tanzania,28298533
Thailand,414492213
Timor-Leste,15518
Togo,20844475
Tonga,168212
Trinidad and Tobago,720077
Tunisia,1905722
Turkey,274627034
Turkmenistan,51510709
Uganda,24465147
Ukraine,167633595
United Arab Emirates,194097281
United Kingdom,291932341
United States,1070939568
Uruguay,4460188
Uzbekistan,1555308229
Vanuatu,290809
Venezuela,8585019
Vietnam,767979276
Yemen,54160594
Zambia,2099828
Zimbabwe,3331817
