snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1558451604,750,336,34.21659,-118.49579,3021,7,0000
1558451619,750,30,34.21683,-118.49590,3021,2,0000
1558451634,750,249,34.21687,-118.49613,3021,8,0000
1558451663,775,75,34.21683,-118.49573,3021,8,1200
1558451688,975,193,34.21435,-118.49316,13711,54,1200
1558451702,1125,206,34.21077,-118.49435,13711,62,1200
1558451708,1200,236,34.20914,-118.49618,13711,69,1200
1558451718,1250,270,34.20863,-118.50020,13711,79,1200
1558451724,1275,270,34.20863,-118.50262,13711,84,1200
1558451734,1350,270,34.20868,-118.50751,13711,89,1200
1558451760,1350,272,34.20882,-118.52090,13711,98,1200
1558451766,1300,271,34.20895,-118.52510,13711,98,1200
1558451779,1300,270,34.20905,-118.53201,13711,94,1200
1558451789,1300,270,34.20905,-118.53733,13711,92,1200
1558451799,1325,267,34.20900,-118.54260,13711,104,1200
1558451810,1425,268,34.20882,-118.54849,13711,105,1200
1558451816,1475,266,34.20863,-118.55226,13711,107,1200
1558451830,1525,268,34.20836,-118.56149,13711,120,1200
1558451839,1550,269,34.20827,-118.56804,13711,123,1200
1558451864,1625,269,34.20821,-118.58511,13711,123,1200
1558451878,1675,269,34.20817,-118.59404,13711,124,1200
1558451906,1775,285,34.20924,-118.61114,13711,93,1200
1558451912,1800,287,34.20996,-118.61378,13711,88,1200
1558451921,1800,296,34.21120,-118.61764,13711,84,1200
1558451932,1800,310,34.21371,-118.62213,13711,87,1200
1558451942,1850,317,34.21664,-118.62566,13711,88,1200
1558451952,1875,321,34.21948,-118.62871,13711,81,1200
1558451958,1850,325,34.22116,-118.63020,13711,83,1200
1558451967,1875,325,34.22442,-118.63300,13711,94,1200
1558451977,1900,326,34.22827,-118.63564,13711,98,1200
1558452000,1775,72,34.23541,-118.62791,16560,102,1200
1558452010,1700,86,34.23605,-118.62225,16560,102,1200
1558452021,1675,87,34.23628,-118.61652,16560,98,1200
1558452030,1675,86,34.23652,-118.61137,16560,98,1200
1558452041,1625,86,34.23688,-118.60543,16560,102,1200
1558452051,1575,85,34.23722,-118.59964,16560,104,1200
1558452060,1525,87,34.23743,-118.59383,16560,105,1200
1558452071,1525,88,34.23759,-118.58751,16560,106,1200
1558452092,1400,100,34.23670,-118.57561,16560,105,1200
1558452102,1375,102,34.23573,-118.56983,16560,100,1200
1558452113,1375,103,34.23465,-118.56445,16560,95,1200
1558452121,1375,102,34.23372,-118.55941,16560,95,1200
1558452132,1325,104,34.23262,-118.55392,16560,101,1200
1558452142,1275,103,34.23144,-118.54837,16560,99,1200
1558452153,1275,103,34.23047,-118.54315,16560,95,1200
1558452162,1275,102,34.22946,-118.53805,16560,94,1200
1558452173,1275,104,34.22836,-118.53273,16560,94,1200
1558452187,1275,103,34.22660,-118.52486,16560,97,1200
1558452198,1275,102,34.22562,-118.51933,16560,97,1200
1558452207,1250,101,34.22469,-118.51416,16560,94,1200
1558452217,1250,101,34.22395,-118.50946,16560,86,1200
1558452228,1250,103,34.22311,-118.50494,16560,69,1200
1558452238,1175,113,34.22209,-118.50173,16560,62,1200
1558452248,1100,137,34.22078,-118.49951,16560,41,1200
1558452258,1000,171,34.21930,-118.49876,16560,34,1200
1558452268,900,165,34.21776,-118.49842,16560,31,1200
1558452278,825,106,34.21692,-118.49730,16560,24,1200
1558452288,800,100,34.21678,-118.49636,16560,11,1200
1558452299,800,130,34.21678,-118.49596,16560,9,1200
1558452306,800,130,34.21655,-118.49567,16560,9,1200
1558452318,750,130,34.21622,-118.49533,16560,9,1200
