snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1557774973,1000,123,34.25663,-118.40384,2818,62,0000
1557774984,1000,119,34.25436,-118.39949,2818,83,0000
1557774996,1100,112,34.25230,-118.39433,2818,82,0000
1557775006,1100,108,34.25123,-118.39073,2818,72,0000
1557775013,1200,127,34.24988,-118.38750,2818,72,1206
1557775019,1200,137,34.24834,-118.38570,2818,75,1206
1557775025,1200,140,34.24677,-118.38402,2818,80,1206
1557775033,1200,139,34.24493,-118.38217,2818,87,1206
1557775041,1200,139,34.24215,-118.37929,2818,91,1206
1557775047,1200,139,34.24017,-118.37723,2818,91,1206
1557775058,1200,139,34.23661,-118.37357,2818,91,1206
1557775065,1200,138,34.23427,-118.37118,2818,94,1206
1557775072,1200,140,34.23239,-118.36928,2818,93,1206
1557775084,1200,140,34.22823,-118.36516,2818,96,0244
1557775096,1200,138,34.22415,-118.36104,2818,97,0244
1557775106,1200,138,34.21989,-118.35650,2818,101,0244
1557775113,1200,137,34.21780,-118.35428,2818,101,0244
1557775119,1200,138,34.21557,-118.35188,2818,99,0244
1557775125,1200,139,34.21349,-118.34983,2818,100,0244
1557775138,1200,139,34.20919,-118.34541,2818,100,0244
1557775144,1200,138,34.20719,-118.34324,2818,101,0244
1557775155,1200,138,34.20282,-118.33862,2818,103,0244
1557775162,1300,138,34.20067,-118.33637,2818,103,0244
1557775168,1200,136,34.19856,-118.33408,2818,104,0244
1557775174,1200,131,34.19650,-118.33161,2818,104,0244
1557775180,1200,128,34.19453,-118.32877,2818,105,0244
1557775186,1200,125,34.19284,-118.32606,2818,103,0244
1557775195,1200,123,34.19047,-118.32172,2818,102,0244
1557775202,1300,119,34.18820,-118.31720,2818,102,0244
1557775232,1300,111,34.18256,-118.30324,2818,100,0244
1557775239,1400,109,34.18112,-118.29861,2818,99,0244
1557775245,1400,108,34.18019,-118.29552,2818,99,0244
1557775251,1400,106,34.17935,-118.29231,2818,99,0244
1557775263,1400,103,34.17792,-118.28593,2818,100,0244
1557775270,1500,102,34.17726,-118.28253,2818,103,0244
1557775284,1500,100,34.17586,-118.27383,2818,104,0244
1557775290,1500,100,34.17535,-118.27080,2818,104,1206
1557775297,1500,101,34.17476,-118.26709,2818,103,1206
1557775314,1500,94,34.17367,-118.25684,2818,103,1206
1557775323,1500,72,34.17435,-118.25134,2818,105,1206
1557775334,1600,67,34.17651,-118.24562,2818,106,1206
1557775360,1600,49,34.18442,-118.23290,2163,108,1206
1557775370,1700,46,34.18749,-118.22892,2163,105,1206
1557775382,1800,43,34.19151,-118.22410,2163,101,1206
1557775388,1800,50,34.19318,-118.22170,2163,90,1206
1557775397,1800,89,34.19406,-118.21827,2163,70,1206
1557775453,1700,93,34.19833,-118.21048,41462,90,1206
1557775460,1700,96,34.19806,-118.20723,41462,92,1206
1557775477,1800,103,34.19669,-118.19787,41462,99,1206
1557775489,1800,102,34.19531,-118.19092,41462,103,1206
1557775497,1800,105,34.19434,-118.18674,41462,106,1206
1557775504,1700,107,34.19322,-118.18233,41462,107,1206
1557775510,1700,107,34.19234,-118.17898,41462,107,1206
1557775517,1700,105,34.19156,-118.17556,41462,106,1206
1557775528,1800,104,34.19009,-118.16872,41462,103,1206
1557775534,1800,104,34.18936,-118.16528,41462,103,1206
1557775546,1800,104,34.18792,-118.15853,41462,105,1206
1557775552,1800,104,34.18716,-118.15516,41462,106,1206
1557775558,1800,104,34.18643,-118.15173,41462,106,1206
1557775564,1800,104,34.18565,-118.14815,41462,105,1206
1557775571,1800,105,34.18489,-118.14468,41462,107,1206
1557775583,1800,104,34.18327,-118.13756,41462,108,1206
1557775589,1800,103,34.18256,-118.13422,41462,108,1206
1557775595,1800,105,34.18182,-118.13072,41462,107,1206
1557775605,1800,106,34.18037,-118.12431,41462,111,1206
1557775611,1800,106,34.17944,-118.12054,41462,111,1206
1557775620,1700,106,34.17824,-118.11552,41462,112,1206
1557775627,1700,104,34.17716,-118.11087,41462,109,1206
1557775638,1800,103,34.17567,-118.10406,41462,109,1206
1557775647,1800,105,34.17448,-118.09877,41462,107,1206
1557775653,1800,104,34.17380,-118.09574,41462,109,1206
1557775664,1800,104,34.17229,-118.08890,41462,108,1206
1557775672,1800,104,34.17153,-118.08501,41462,108,1206
1557775684,1800,102,34.17014,-118.07762,41462,109,1206
1557775690,1800,101,34.16949,-118.07365,41462,109,1206
1557775706,1800,97,34.16803,-118.06357,2120,111,1206
1557775716,1800,98,34.16734,-118.05818,2120,111,1206
1557775729,1800,99,34.16634,-118.05096,2120,110,1206
1557775736,1800,99,34.16576,-118.04712,2120,110,1206
1557775747,1800,98,34.16464,-118.03964,2120,111,1206
1557775753,1800,98,34.16423,-118.03627,2120,110,1206
1557775762,1800,98,34.16352,-118.03082,2120,111,1206
1557775773,1800,99,34.16259,-118.02389,2120,111,1206
1557775786,1700,97,34.16199,-118.01520,20847,112,1206
1557775811,1800,100,34.15993,-118.00050,2120,111,1206
1557775837,1700,101,34.15713,-117.98464,12916,110,1206
1557775855,1800,100,34.15538,-117.97296,12916,107,1206
1557775867,1800,98,34.15449,-117.96645,12916,110,1206
1557775876,1800,98,34.15375,-117.96060,12916,112,1206
1557775907,1700,95,34.15193,-117.94115,13235,115,1206
1557775917,1700,97,34.15123,-117.93431,1451,118,1206
1557775923,1700,97,34.15077,-117.93016,1451,117,1206
1557775935,1600,98,34.14993,-117.92284,1451,113,1206
1557775947,1600,99,34.14904,-117.91528,1451,114,1206
1557775959,1600,98,34.14798,-117.90791,1451,110,1206
1557775965,1700,101,34.14746,-117.90436,1451,109,1206
1557775971,1700,101,34.14690,-117.90099,1451,110,1206
1557775977,1700,100,34.14629,-117.89698,1451,111,1206
1557775983,1700,100,34.14569,-117.89317,1451,112,1206
1557775989,1700,99,34.14523,-117.88947,1451,115,1206
1557775995,1700,99,34.14473,-117.88566,1451,113,1206
1557776001,1700,98,34.14423,-117.88196,1451,111,1206
1557776012,1600,98,34.14326,-117.87489,1451,111,1206
1557776019,1700,93,34.14299,-117.87103,1451,110,1206
1557776043,1700,99,34.14207,-117.85628,5661,110,1206
1557776051,1700,102,34.14134,-117.85180,5661,110,1206
1557776064,1700,104,34.13969,-117.84370,5661,109,1206
1557776073,1700,104,34.13855,-117.83857,5661,109,1206
1557776080,1800,105,34.13750,-117.83380,5661,107,1206
1557776093,1800,107,34.13589,-117.82708,5661,105,1206
1557776105,1900,110,34.13392,-117.82030,5661,110,1206
1557776123,1800,113,34.13015,-117.80914,2958,114,1206
1557776132,1900,110,34.12839,-117.80365,2958,112,1206
1557776145,1800,112,34.12601,-117.79665,2958,112,1206
1557776151,1700,114,34.12465,-117.79312,2958,110,1206
1557776158,1700,124,34.12265,-117.78900,2958,107,1206
1557776164,1700,135,34.12079,-117.78648,2958,104,1206
