fips,name,abbr,is_continental,statehood_year,capital,capital_tz,ap_abbr,shapefile_urls,tract_shp,cd_shp,county_shp,state_shp,zcta_shp,block_shp,blockgroup_shp
01,Alabama,AL,True,1819,Montgomery,America/Chicago,Ala.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_01_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_01_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_01_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_01_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_01_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_01_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_01_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_01_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_01_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_01_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_01_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_01_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_01_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_01_bg10.zip
02,Alaska,AK,True,1959,Juneau,America/Anchorage,Alaska,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_02_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_02_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_02_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_02_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_02_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_02_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_02_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_02_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_02_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_02_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_02_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_02_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_02_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_02_bg10.zip
04,Arizona,AZ,True,1912,Phoenix,America/Phoenix,Ariz.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_04_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_04_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_04_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_04_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_04_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_04_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_04_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_04_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_04_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_04_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_04_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_04_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_04_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_04_bg10.zip
05,Arkansas,AR,True,1836,Little Rock,America/Chicago,Ark.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_05_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_05_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_05_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_05_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_05_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_05_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_05_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_05_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_05_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_05_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_05_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_05_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_05_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_05_bg10.zip
06,California,CA,True,1850,Sacramento,America/Los_Angeles,Calif.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_06_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_06_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_06_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_06_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_06_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_06_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_06_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_06_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_06_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_06_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_06_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_06_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_06_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_06_bg10.zip
08,Colorado,CO,True,1876,Denver,America/Denver,Colo.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_08_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_08_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_08_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_08_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_08_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_08_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_08_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_08_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_08_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_08_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_08_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_08_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_08_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_08_bg10.zip
09,Connecticut,CT,True,1788,Hartford,America/New_York,Conn.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_09_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_09_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_09_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_09_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_09_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_09_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_09_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_09_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_09_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_09_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_09_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_09_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_09_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_09_bg10.zip
10,Delaware,DE,True,1787,Dover,America/New_York,Del.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_10_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_10_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_10_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_10_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_10_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_10_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_10_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_10_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_10_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_10_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_10_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_10_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_10_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_10_bg10.zip
12,Florida,FL,True,1845,Tallahassee,America/New_York,Fla.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_12_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_12_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_12_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_12_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_12_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_12_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_12_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_12_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_12_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_12_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_12_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_12_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_12_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_12_bg10.zip
13,Georgia,GA,True,1788,Atlanta,America/New_York,Ga.,"{'tract': 'https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_13_tract10.zip', 'cd': 'https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_13_cd111.zip', 'county': 'https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_13_county10.zip', 'state': 'https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_13_state10.zip', 'zcta': 'https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_13_zcta510.zip', 'block': 'https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_13_tabblock10.zip', 'blockgroup': 'https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_13_bg10.zip'}",https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_13_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/CD/111/tl_2010_13_cd111.zip,https://www2.census.gov/geo/tiger/TIGER2010/COUNTY/2010/tl_2010_13_county10.zip,https://www2.census.gov/geo/tiger/TIGER2010/STATE/2010/tl_2010_13_state10.zip,https://www2.census.gov/geo/tiger/TIGER2010/ZCTA5/2010/tl_2010_13_zcta510.zip,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_13_tabblock10.zip,https://www2.census.gov/geo/tiger/TIGER2010/BG/2010/tl_2010_13_bg10.zip
